study_a,study_b,var_name_a,var_name_b,similarity_score
gissi-hf,time-chf,f9_edemperi,edema12,0.875
gissi-hf,time-chf,f9_edemperi,edemahistory,0.625
gissi-hf,time-chf,f9_edemperi,edema3,0.875
gissi-hf,time-chf,f9_edemperi,edemahist6,0.625
gissi-hf,time-chf,f9_edemperi,edemahist1,0.625
gissi-hf,time-chf,f9_edemperi,edema,0.875
gissi-hf,time-chf,f7_ematocri,hct,0.888888888888889
gissi-hf,time-chf,f7_ematocri,hct6,0.888888888888889
gissi-hf,time-chf,f7_ematocri,hct12,0.888888888888889
gissi-hf,time-chf,f7_ematocri,hct18,1.0
gissi-hf,time-chf,f13_ondeq,pathologischeqinv4v6_18,0.6875000000000001
gissi-hf,time-chf,f13_ondeq,pathologischeqinavli_12,0.7083333333333334
gissi-hf,time-chf,f13_ondeq,pathologischeqiniiiiiavf_18,0.6875000000000001
gissi-hf,time-chf,f13_ondeq,pathologischeqinv4v6,0.6875000000000001
gissi-hf,time-chf,f13_ondeq,pathologischeqinv4v6_12,0.6875000000000001
gissi-hf,time-chf,f13_ondeq,pathologischeqinv2v3_12,0.7083333333333334
gissi-hf,time-chf,f13_ondeq,pathologischeqinv2v3_18,0.7083333333333334
gissi-hf,time-chf,f13_ondeq,pathologischeqiniiiiiavf_12,0.6875000000000001
gissi-hf,time-chf,f13_ondeq,pathologischeqinavli_18,0.7083333333333334
gissi-hf,time-chf,f13_ondeq,pathologischeqinv2v3,0.7083333333333334
gissi-hf,time-chf,f13_ondeq,pathologischeqinavli,0.7083333333333334
gissi-hf,time-chf,f13_ondeq,pathologischeqiniiiiiavf,0.6875000000000001
gissi-hf,time-chf,f12_uast,ast,0.5555555555555556
gissi-hf,time-chf,f12_daltace,ace_at_v3,0.625
gissi-hf,time-chf,f12_daltace,doseacev12,0.5555555555555556
gissi-hf,time-chf,f12_daltace,ace_at_v12,0.625
gissi-hf,time-chf,f12_daltace,ace_at_v6,0.625
gissi-hf,time-chf,f12_daltace,blace,0.625
gissi-hf,time-chf,f12_daltace,v3ace,0.625
gissi-hf,time-chf,f12_daltace,aceadjbl,0.625
gissi-hf,time-chf,f12_daltace,doseacev3,0.5555555555555556
gissi-hf,time-chf,f12_daltace,aceadj12,0.625
gissi-hf,time-chf,f12_daltace,ace_at_bl,0.625
gissi-hf,time-chf,f12_daltace,doseacebl,0.5555555555555556
gissi-hf,time-chf,f12_daltace,v1ace,0.625
gissi-hf,time-chf,f12_daltace,ace_at_v1,0.625
gissi-hf,time-chf,f12_daltace,v12ace,0.625
gissi-hf,time-chf,f12_daltace,aceadj6,0.625
gissi-hf,time-chf,f12_daltace,aceadj3,0.625
gissi-hf,time-chf,f12_daltace,doseacev6,0.5555555555555556
gissi-hf,time-chf,f12_daltace,v6ace,0.625
gissi-hf,time-chf,f12_daltace,aceadj1,0.625
gissi-hf,time-chf,f12_daltace,doseacev18,0.5555555555555556
gissi-hf,time-chf,f12_daltace,doseacev1,0.5555555555555556
gissi-hf,time-chf,f12_daltace,v18ace,0.625
gissi-hf,time-chf,f12_daltace,ace_at_v18,0.625
gissi-hf,time-chf,f99_antidepr,antidepress,0.875
gissi-hf,time-chf,f8_pesoatt,weight,0.888888888888889
gissi-hf,time-chf,f8_pesoatt,weight6,0.888888888888889
gissi-hf,time-chf,f8_pesoatt,weight18,0.888888888888889
gissi-hf,time-chf,f8_pesoatt,weight3,0.888888888888889
gissi-hf,time-chf,f8_pesoatt,weight1,0.888888888888889
gissi-hf,time-chf,f8_pesoatt,weight12,0.888888888888889
gissi-hf,time-chf,f7_altdiu,diuadj12,0.625
gissi-hf,time-chf,f7_altdiu,diuadj6,0.625
gissi-hf,time-chf,f7_altdiu,diuadjbl,0.625
gissi-hf,time-chf,f7_altdiu,diuadj3,0.625
gissi-hf,time-chf,f7_altdiu,diuadj1,0.625
gissi-hf,time-chf,f12_ipervent,lvh,0.625
gissi-hf,time-chf,f12_ipervent,lvh_12,0.625
gissi-hf,time-chf,f12_ipervent,lvh_18,0.625
gissi-hf,time-chf,f11_dspirono,dosespirov1,0.888888888888889
gissi-hf,time-chf,f11_dspirono,dosespirov3,0.888888888888889
gissi-hf,time-chf,f11_dspirono,dosespirobl,0.888888888888889
gissi-hf,time-chf,f11_dspirono,spiroadjbl,0.625
gissi-hf,time-chf,f11_dspirono,spiroadj3,0.625
gissi-hf,time-chf,f11_dspirono,dosespirov18,0.888888888888889
gissi-hf,time-chf,f11_dspirono,spiroadj1,0.625
gissi-hf,time-chf,f11_dspirono,spiroadj6,0.625
gissi-hf,time-chf,f11_dspirono,spiroadj12,0.625
gissi-hf,time-chf,f11_dspirono,dosespirov6,0.888888888888889
gissi-hf,time-chf,f11_dspirono,dosespirov12,0.888888888888889
gissi-hf,time-chf,f14_asa,aspirin_v12,0.875
gissi-hf,time-chf,f14_asa,aspirin_v3,0.875
gissi-hf,time-chf,f14_asa,aspirin_v6,0.875
gissi-hf,time-chf,f14_asa,aspirin_bl,0.875
gissi-hf,time-chf,f14_asa,aspirin_v18,0.875
gissi-hf,time-chf,f14_asa,aspirin_v1,0.875
gissi-hf,time-chf,f12_nitrati,nitratadj6,0.625
gissi-hf,time-chf,f12_nitrati,v6nitrat,0.625
gissi-hf,time-chf,f12_nitrati,nitratadj12,0.625
gissi-hf,time-chf,f12_nitrati,nitratadjbl,0.625
gissi-hf,time-chf,f12_nitrati,v1nitrat,0.625
gissi-hf,time-chf,f12_nitrati,nitratadj3,0.625
gissi-hf,time-chf,f12_nitrati,nitratadj1,0.625
gissi-hf,time-chf,f12_nitrati,v12nitrat,0.625
gissi-hf,time-chf,f12_nitrati,v3nitrat,0.625
gissi-hf,time-chf,f12_nitrati,v18nitrat,0.625
gissi-hf,time-chf,f12_nitrati,blnitrat,0.625
gissi-hf,time-chf,f14_altace,ace_at_v3,0.625
gissi-hf,time-chf,f14_altace,doseacev12,0.625
gissi-hf,time-chf,f14_altace,ace_at_v12,0.625
gissi-hf,time-chf,f14_altace,ace_at_v6,0.625
gissi-hf,time-chf,f14_altace,blace,0.625
gissi-hf,time-chf,f14_altace,v3ace,0.625
gissi-hf,time-chf,f14_altace,aceadjbl,0.625
gissi-hf,time-chf,f14_altace,doseacev3,0.625
gissi-hf,time-chf,f14_altace,aceadj12,0.625
gissi-hf,time-chf,f14_altace,ace_at_bl,0.625
gissi-hf,time-chf,f14_altace,doseacebl,0.625
gissi-hf,time-chf,f14_altace,v1ace,0.625
gissi-hf,time-chf,f14_altace,ace_at_v1,0.625
gissi-hf,time-chf,f14_altace,v12ace,0.625
gissi-hf,time-chf,f14_altace,aceadj6,0.625
gissi-hf,time-chf,f14_altace,aceadj3,0.625
gissi-hf,time-chf,f14_altace,doseacev6,0.625
gissi-hf,time-chf,f14_altace,v6ace,0.625
gissi-hf,time-chf,f14_altace,aceadj1,0.625
gissi-hf,time-chf,f14_altace,doseacev18,0.625
gissi-hf,time-chf,f14_altace,doseacev1,0.625
gissi-hf,time-chf,f14_altace,v18ace,0.625
gissi-hf,time-chf,f14_altace,ace_at_v18,0.625
gissi-hf,time-chf,f5_furosemi,v3furo,0.875
gissi-hf,time-chf,f5_furosemi,dosefurov12,0.625
gissi-hf,time-chf,f5_furosemi,v12furo,0.875
gissi-hf,time-chf,f5_furosemi,dosefurov3,0.625
gissi-hf,time-chf,f5_furosemi,v1furo,0.875
gissi-hf,time-chf,f5_furosemi,blfuro,0.875
gissi-hf,time-chf,f5_furosemi,dosefurov6,0.75
gissi-hf,time-chf,f5_furosemi,v18furo,0.875
gissi-hf,time-chf,f5_furosemi,dosefurobl,0.625
gissi-hf,time-chf,f5_furosemi,dosefurov18,0.625
gissi-hf,time-chf,f5_furosemi,dosefurov1,0.625
gissi-hf,time-chf,f5_furosemi,v6furo,1.0
gissi-hf,time-chf,f9_dspirono,dosespirov1,0.888888888888889
gissi-hf,time-chf,f9_dspirono,dosespirov3,0.888888888888889
gissi-hf,time-chf,f9_dspirono,dosespirobl,0.888888888888889
gissi-hf,time-chf,f9_dspirono,spiroadjbl,0.625
gissi-hf,time-chf,f9_dspirono,spiroadj3,0.625
gissi-hf,time-chf,f9_dspirono,dosespirov18,0.888888888888889
gissi-hf,time-chf,f9_dspirono,spiroadj1,0.625
gissi-hf,time-chf,f9_dspirono,spiroadj6,0.625
gissi-hf,time-chf,f9_dspirono,spiroadj12,0.625
gissi-hf,time-chf,f9_dspirono,dosespirov6,0.888888888888889
gissi-hf,time-chf,f9_dspirono,dosespirov12,0.888888888888889
gissi-hf,time-chf,f14_fc,frequentie,0.6666666666666667
gissi-hf,time-chf,f14_fc,hf,0.6666666666666667
gissi-hf,time-chf,f14_fc,frequentie_12,0.6666666666666667
gissi-hf,time-chf,f14_fc,hf_12,0.6666666666666667
gissi-hf,time-chf,f14_fc,hf_18,0.6666666666666667
gissi-hf,time-chf,f14_fc,frequentie_18,0.6666666666666667
gissi-hf,time-chf,f7_nyha,nyha18_class,1.0
gissi-hf,time-chf,f7_nyha,nyha3_class,0.875
gissi-hf,time-chf,f7_nyha,nyha1_class,0.875
gissi-hf,time-chf,f7_nyha,nyha_class,0.875
gissi-hf,time-chf,f7_nyha,nyha6_class,0.875
gissi-hf,time-chf,f7_nyha,nyha12_class,0.875
gissi-hf,time-chf,emoglob,hb18,0.888888888888889
gissi-hf,time-chf,emoglob,hb,1.0
gissi-hf,time-chf,emoglob,hb12,0.888888888888889
gissi-hf,time-chf,emoglob,hb6,0.888888888888889
gissi-hf,time-chf,f14_bbranca,bundeltakblok,0.625
gissi-hf,time-chf,f14_bbranca,bundeltakblok_18,0.625
gissi-hf,time-chf,f14_bbranca,bundeltakblok_12,0.625
gissi-hf,time-chf,f10_fc,frequentie,0.6666666666666667
gissi-hf,time-chf,f10_fc,hf,0.6666666666666667
gissi-hf,time-chf,f10_fc,frequentie_12,0.6666666666666667
gissi-hf,time-chf,f10_fc,hf_12,0.6666666666666667
gissi-hf,time-chf,f10_fc,hf_18,0.6666666666666667
gissi-hf,time-chf,f10_fc,frequentie_18,0.6666666666666667
gissi-hf,time-chf,f13_openstat,statin_at_bl,0.625
gissi-hf,time-chf,f13_openstat,statin_dose_bl,0.625
gissi-hf,time-chf,f13_openstat,statin01,0.875
gissi-hf,time-chf,f11_flutter,afib_bl,0.625
gissi-hf,time-chf,f11_flutter,afib_12,0.625
gissi-hf,time-chf,f11_flutter,afib_18,0.625
gissi-hf,time-chf,f11_desaltac,ace_at_v3,0.625
gissi-hf,time-chf,f11_desaltac,doseacev12,0.625
gissi-hf,time-chf,f11_desaltac,ace_at_v12,0.625
gissi-hf,time-chf,f11_desaltac,ace_at_v6,0.625
gissi-hf,time-chf,f11_desaltac,blace,0.75
gissi-hf,time-chf,f11_desaltac,v3ace,0.75
gissi-hf,time-chf,f11_desaltac,aceadjbl,0.625
gissi-hf,time-chf,f11_desaltac,doseacev3,0.625
gissi-hf,time-chf,f11_desaltac,aceadj12,0.625
gissi-hf,time-chf,f11_desaltac,ace_at_bl,0.625
gissi-hf,time-chf,f11_desaltac,doseacebl,0.625
gissi-hf,time-chf,f11_desaltac,v1ace,0.75
gissi-hf,time-chf,f11_desaltac,ace_at_v1,0.625
gissi-hf,time-chf,f11_desaltac,v12ace,0.75
gissi-hf,time-chf,f11_desaltac,aceadj6,0.625
gissi-hf,time-chf,f11_desaltac,aceadj3,0.625
gissi-hf,time-chf,f11_desaltac,doseacev6,0.625
gissi-hf,time-chf,f11_desaltac,v6ace,0.75
gissi-hf,time-chf,f11_desaltac,aceadj1,0.625
gissi-hf,time-chf,f11_desaltac,doseacev18,0.625
gissi-hf,time-chf,f11_desaltac,doseacev1,0.625
gissi-hf,time-chf,f11_desaltac,v18ace,0.75
gissi-hf,time-chf,f11_desaltac,ace_at_v18,0.625
gissi-hf,time-chf,f10_ematocri,hct,0.888888888888889
gissi-hf,time-chf,f10_ematocri,hct6,0.888888888888889
gissi-hf,time-chf,f10_ematocri,hct12,0.888888888888889
gissi-hf,time-chf,f10_ematocri,hct18,0.888888888888889
gissi-hf,time-chf,f14_ast,ast,0.7777777777777778
gissi-hf,time-chf,f7_uast,ast,0.5555555555555556
gissi-hf,time-chf,f5_desaltac,ace_at_v3,0.625
gissi-hf,time-chf,f5_desaltac,doseacev12,0.625
gissi-hf,time-chf,f5_desaltac,ace_at_v12,0.625
gissi-hf,time-chf,f5_desaltac,ace_at_v6,0.75
gissi-hf,time-chf,f5_desaltac,blace,0.75
gissi-hf,time-chf,f5_desaltac,v3ace,0.75
gissi-hf,time-chf,f5_desaltac,aceadjbl,0.625
gissi-hf,time-chf,f5_desaltac,doseacev3,0.625
gissi-hf,time-chf,f5_desaltac,aceadj12,0.625
gissi-hf,time-chf,f5_desaltac,ace_at_bl,0.625
gissi-hf,time-chf,f5_desaltac,doseacebl,0.625
gissi-hf,time-chf,f5_desaltac,v1ace,0.75
gissi-hf,time-chf,f5_desaltac,ace_at_v1,0.625
gissi-hf,time-chf,f5_desaltac,v12ace,0.75
gissi-hf,time-chf,f5_desaltac,aceadj6,0.75
gissi-hf,time-chf,f5_desaltac,aceadj3,0.625
gissi-hf,time-chf,f5_desaltac,doseacev6,0.75
gissi-hf,time-chf,f5_desaltac,v6ace,0.875
gissi-hf,time-chf,f5_desaltac,aceadj1,0.625
gissi-hf,time-chf,f5_desaltac,doseacev18,0.625
gissi-hf,time-chf,f5_desaltac,doseacev1,0.625
gissi-hf,time-chf,f5_desaltac,v18ace,0.75
gissi-hf,time-chf,f5_desaltac,ace_at_v18,0.625
gissi-hf,time-chf,f14_dspirono,dosespirov1,0.888888888888889
gissi-hf,time-chf,f14_dspirono,dosespirov3,0.888888888888889
gissi-hf,time-chf,f14_dspirono,dosespirobl,0.888888888888889
gissi-hf,time-chf,f14_dspirono,spiroadjbl,0.625
gissi-hf,time-chf,f14_dspirono,spiroadj3,0.625
gissi-hf,time-chf,f14_dspirono,dosespirov18,0.888888888888889
gissi-hf,time-chf,f14_dspirono,spiroadj1,0.625
gissi-hf,time-chf,f14_dspirono,spiroadj6,0.625
gissi-hf,time-chf,f14_dspirono,spiroadj12,0.625
gissi-hf,time-chf,f14_dspirono,dosespirov6,0.888888888888889
gissi-hf,time-chf,f14_dspirono,dosespirov12,0.888888888888889
gissi-hf,time-chf,v2_hscrp,hscrp_v6,0.888888888888889
gissi-hf,time-chf,v2_hscrp,hscrp_v18,0.888888888888889
gissi-hf,time-chf,v2_hscrp,crpsensitive,0.888888888888889
gissi-hf,time-chf,v2_hscrp,hscrp_v3,1.0
gissi-hf,time-chf,v2_hscrp,hscrp_v1,0.888888888888889
gissi-hf,time-chf,v2_hscrp,hscrp_v12,0.888888888888889
gissi-hf,time-chf,v2_hscrp,hscrp_bl,0.888888888888889
gissi-hf,time-chf,f9_antidepr,antidepress,0.875
gissi-hf,time-chf,f13_bbranca,bundeltakblok,0.625
gissi-hf,time-chf,f13_bbranca,bundeltakblok_18,0.625
gissi-hf,time-chf,f13_bbranca,bundeltakblok_12,0.625
gissi-hf,time-chf,f8_spirono,dosespirov1,0.625
gissi-hf,time-chf,f8_spirono,dosespirov3,0.625
gissi-hf,time-chf,f8_spirono,dosespirobl,0.625
gissi-hf,time-chf,f8_spirono,spiroadjbl,0.625
gissi-hf,time-chf,f8_spirono,spiroadj3,0.625
gissi-hf,time-chf,f8_spirono,dosespirov18,0.625
gissi-hf,time-chf,f8_spirono,spiroadj1,0.625
gissi-hf,time-chf,f8_spirono,spiroadj6,0.625
gissi-hf,time-chf,f8_spirono,spiroadj12,0.625
gissi-hf,time-chf,f8_spirono,dosespirov6,0.625
gissi-hf,time-chf,f8_spirono,dosespirov12,0.625
gissi-hf,time-chf,f5_dfurosem,v3furo,0.625
gissi-hf,time-chf,f5_dfurosem,dosefurov12,0.888888888888889
gissi-hf,time-chf,f5_dfurosem,v12furo,0.625
gissi-hf,time-chf,f5_dfurosem,dosefurov3,0.888888888888889
gissi-hf,time-chf,f5_dfurosem,v1furo,0.625
gissi-hf,time-chf,f5_dfurosem,blfuro,0.625
gissi-hf,time-chf,f5_dfurosem,dosefurov6,1.0
gissi-hf,time-chf,f5_dfurosem,v18furo,0.625
gissi-hf,time-chf,f5_dfurosem,dosefurobl,0.888888888888889
gissi-hf,time-chf,f5_dfurosem,dosefurov18,0.888888888888889
gissi-hf,time-chf,f5_dfurosem,dosefurov1,0.888888888888889
gissi-hf,time-chf,f5_dfurosem,v6furo,0.75
gissi-hf,time-chf,f4_ast,ast,0.7777777777777778
gissi-hf,time-chf,f5_anticoag,oak_v18,0.875
gissi-hf,time-chf,f5_anticoag,oak_v6,1.0
gissi-hf,time-chf,f5_anticoag,oak_v12,0.875
gissi-hf,time-chf,f5_anticoag,oak_bl,0.875
gissi-hf,time-chf,f5_anticoag,oak_v3,0.875
gissi-hf,time-chf,f5_anticoag,oak_v1,0.875
gissi-hf,time-chf,rantomed,rales1,0.625
gissi-hf,time-chf,rantomed,rales_01,0.75
gissi-hf,time-chf,rantomed,rales6,0.625
gissi-hf,time-chf,rantomed,rales12,0.625
gissi-hf,time-chf,rantomed,rales3_01,0.625
gissi-hf,time-chf,rantomed,rales,0.75
gissi-hf,time-chf,rantomed,rales6_01,0.625
gissi-hf,time-chf,rantomed,rales18,0.625
gissi-hf,time-chf,rantomed,rales3,0.625
gissi-hf,time-chf,rantomed,rales1_01,0.625
gissi-hf,time-chf,f14_flutter,afib_bl,0.625
gissi-hf,time-chf,f14_flutter,afib_12,0.625
gissi-hf,time-chf,f14_flutter,afib_18,0.625
gissi-hf,time-chf,f13_desaltbb,bb_at_v3,0.625
gissi-hf,time-chf,f13_desaltbb,bbadjbl,0.625
gissi-hf,time-chf,f13_desaltbb,v1bb,0.75
gissi-hf,time-chf,f13_desaltbb,v6bb,0.75
gissi-hf,time-chf,f13_desaltbb,bbadj1,0.625
gissi-hf,time-chf,f13_desaltbb,bb_at_v12,0.625
gissi-hf,time-chf,f13_desaltbb,bbadj12,0.625
gissi-hf,time-chf,f13_desaltbb,dosebbv1,0.625
gissi-hf,time-chf,f13_desaltbb,bb_at_bl,0.625
gissi-hf,time-chf,f13_desaltbb,blbb,0.75
gissi-hf,time-chf,f13_desaltbb,v3bb,0.75
gissi-hf,time-chf,f13_desaltbb,v18bb,0.75
gissi-hf,time-chf,f13_desaltbb,bbadj3,0.625
gissi-hf,time-chf,f13_desaltbb,dosebbv18,0.625
gissi-hf,time-chf,f13_desaltbb,bb_at_v18,0.625
gissi-hf,time-chf,f13_desaltbb,dosebbbl,0.625
gissi-hf,time-chf,f13_desaltbb,dosebbv3,0.625
gissi-hf,time-chf,f13_desaltbb,bbadj6,0.625
gissi-hf,time-chf,f13_desaltbb,dosebbv12,0.625
gissi-hf,time-chf,f13_desaltbb,bb_at_v6,0.625
gissi-hf,time-chf,f13_desaltbb,v12bb,0.75
gissi-hf,time-chf,f13_desaltbb,bb_at_v1,0.625
gissi-hf,time-chf,f13_desaltbb,dosebbv6,0.625
gissi-hf,time-chf,f6_bbranca,bundeltakblok,0.625
gissi-hf,time-chf,f6_bbranca,bundeltakblok_18,0.625
gissi-hf,time-chf,f6_bbranca,bundeltakblok_12,0.75
gissi-hf,time-chf,causc,firstmanifest,0.625
gissi-hf,time-chf,causc,causeofheartfailure,1.0
gissi-hf,time-chf,f8_dspirono,dosespirov1,0.888888888888889
gissi-hf,time-chf,f8_dspirono,dosespirov3,0.888888888888889
gissi-hf,time-chf,f8_dspirono,dosespirobl,0.888888888888889
gissi-hf,time-chf,f8_dspirono,spiroadjbl,0.625
gissi-hf,time-chf,f8_dspirono,spiroadj3,0.625
gissi-hf,time-chf,f8_dspirono,dosespirov18,0.888888888888889
gissi-hf,time-chf,f8_dspirono,spiroadj1,0.625
gissi-hf,time-chf,f8_dspirono,spiroadj6,0.625
gissi-hf,time-chf,f8_dspirono,spiroadj12,0.625
gissi-hf,time-chf,f8_dspirono,dosespirov6,0.888888888888889
gissi-hf,time-chf,f8_dspirono,dosespirov12,0.888888888888889
gissi-hf,time-chf,f13_nitrati,nitratadj6,0.625
gissi-hf,time-chf,f13_nitrati,v6nitrat,0.625
gissi-hf,time-chf,f13_nitrati,nitratadj12,0.625
gissi-hf,time-chf,f13_nitrati,nitratadjbl,0.625
gissi-hf,time-chf,f13_nitrati,v1nitrat,0.625
gissi-hf,time-chf,f13_nitrati,nitratadj3,0.625
gissi-hf,time-chf,f13_nitrati,nitratadj1,0.625
gissi-hf,time-chf,f13_nitrati,v12nitrat,0.625
