Study Name,Study Type,Study Design,Study Objective,Population Location,Institute,Administrator,Administrator Email Address,Study Contact Person,Study Contact Person Email Address,Number of Participants,Start date,End date,Ongoing,Anonymisation/Pseudonymization technique,Frequency of data collection,Language,Dataset Format,Coding system,Interventions,Comparator,Mixed Sex,Morbidity,Race/Ethnicity,Age distribution,Enrolled with Diabetes,Enrolled with CVD (%),Sex inclusion criterion,Health status inclusion criterion,clinically relevant exposure inclusion criterion,age group inclusion criterion,BMI range inclusion criterion,ethnicity inclusion criterion,family status inclusion criterion,hospital patient inclusion criterion,use of medication inclusion criterion,health  status exclusion criterion,bmi range exclusion criterion,limited life expectancy exclusion criterion,need for surgery exclusion criterion,surgical procedure history,clinically relevant exposure exclusion criterion,primary outcome specification,secondary outcome specification,References,Part of Study,Number of Variables,Type of data collection
CKD-G4-5,Cardiovascular diseases/Chronic kidney disease but no structural/functional heart disease,observational design,,,Maastricht University Medical Centre,,,Christof Peters,christof.peters@mumc.nl,130,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMRATE,established Heart failure,observational design,"Examine whether the ECG signal that a new wearable device measures and transmits corresponds to validated standard ECG systems, in other words whether the results from the new device are reliable",Belgium,IMEC,John Morales Tellez,John.MoralesTellez@imec.nl,John Morales Tellez,John.MoralesTellez@imec.nl,36,,,no,,One session,Dutch,Excel and csv,Own coding system,,,,acute Heart failure,,,,,,acute Heart failure,,,,,,,,,,,,,,,,,,,
CYCLE,structural/functional heart disease but no Heart failure,randomized controlled trial,"Prospective, controlled, randomized, multicentre trial to examine whether a single intravenous bolus of cyclosporine A before PCI can reduce myocardial reperfusion injury in patients with STEMI.",Italy,Mario Negri Institute for Pharmacological Research,Enrico Nicolis,enrico.nicolis@marionegri.it,Enrico Nicolis; Martina Colombo,enrico.nicolis@marionegri.it; martina.colombo@marionegri.it,410,2012,2014,no, ,"Baseline, 4 weeks, 6 months",Italian,"SAS, SPSS",Own coding system, , ,male79.8%;female=20.2%,STEMI myocardial infarction,,62.9±12 ,14.10%,100%,male and female,Acute myocardial infarction,ST Elevation Myocardial Infarction,>= 18 years old,,,,,,"Left bundle branch block; TIMI flow > 1 in the identified culprit artery; Coronary anatomy not suitable for PCI; Previous MI; Previous CABG; Severe renal or hepatic insufficiency; Malignant tumor, not curatively treated",,,,,Left bundle branch block;TIMI flow > 1 in the identified culprit artery;Coronary anatomy not suitable for PCI; Previous MI ;Previous CABG;Severe renal or hepatic insufficiency,"improvement of myocardial reperfusion, measured with ST-segment resolution, defined as >=70%, 60 minutes after PCI (first evidence of antegrade blood flow)","Troponin T at day 4 after PCI; Clinical events within 6 months of randomization; all-cause mortality; HF or shock; rehospitalization for CV reasons; Left ventricular remodeling and function at 6 months; No reflow, as assessed by myocardial blush",https://pubmed.ncbi.nlm.nih.gov/26821623/,,,
DAPA-HF,established Heart failure,randomized controlled trial,,,University of Glasgow,John Morales Tellez,John.MoralesTellez@imec.nl,Alasdair Henderson,Alasdair.Henderson@glasgow.ac.uk,4744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dialysis-cohort,Cardiovascular diseases/Chronic kidney disease but no structural/functional heart disease,observational design,,,Maastricht University Medical Centre,John Morales Tellez,John.MoralesTellez@imec.nl,Christof Peters,christof.peters@mumc.nl,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DYDA,left ventricular DYsfunction in DiAbetes,observational design,"Baseline clinical, ECG, laboratory and echocardiographic data from 751 patients (61 ± 7 years, 59% hypertensive) recruited by 37 Italian diabetes clinics were analysed. Clinical history, life habits, laboratory data (NT-proBNP, HsCRP, HbA1c, serum glucose, lipids and creatinine, liver enzymes, microalbuminuria, glomerular filtrate) and data on microvascular complications and drug therapy were collected.",Italy,Mario Negri Institute for Pharmacological Research,Enrico Nicolis,enrico.nicolis@marionegri.it,Enrico Nicolis; Martina Colombo,enrico.nicolis@marionegri.it; martina.colombo@marionegri.it,960,2006,2008,no, ,"Baseline, 2 years follow-up",Italian,"SAS, SPSS",Own coding system, , ,male=61.9%;female=38.1%,Type 2 diabetes mellitus,,61.9 ± 7.6,100%, ,male and female,Type 2 diabetes, ,>=  18 years,,,,,,known cardiac disease; type 1 diabetes,,severe systemic disease with a life expectancy <2 years, , ,previous myocardial infarction; myocarditis or HF; coronary heart disease (CHD); alcoholic cardiomyopathy; primary hypertrophic cardiomyopathy; asymptomatic known LVD; previous myocardial revascularization; significant valve heart disease; atrial fibrillation; left bundle branch block or type II or III atrioventricular block; type 1 diabetes,"composite of major events, including all-causes death and hospital admissions",Left ventricular dysfunction measurement,,,,
EAR,Chronic Obstructive Pulmonary Disease and established Heart failure,observational design, study is to acquire signals using the BIOPAC or a wearable multi-parametric sensor device from imec to evaluate their use for respiratory analysis,Belgium,IMEC,John Morales Tellez,John.MoralesTellez@imec.nl,John Morales Tellez,John.MoralesTellez@imec.nl,127,2019,2023,no,,One or two sessions,Dutch,Excel and csv,Own coding system,,,Male=32.3%;Female=67.7%,Chronic Obstructive Pulmonary Disease|Heart failure,,66 ± 9,19,51%,,Chronic Obstructive Pulmonary Disease;Heart failure,,,,,,,,,,,,,,Evaluation of Bioimpedance signals as measurement of respiratory parameters and as biomarker for respiratory obstruction in COPD patients,,,,7,
GISSI-3,structural/functional heart disease but no Heart failure,randomized controlled trial,"Evaluation of the efficacy of a treatment with ACE-inhibitors and/or nitrates on 6-week mortality following acute myocardial infarction (AMI); evaluation of the extent to which such a favourable effect on left ventricular function (measured at 6 weeks), if present, is maintained up to 6 months following the event. The evaluation is carried out on the combined endpoint of mortality and left ventricular damage.",Italy,Mario Negri Institute for Pharmacological Research,Enrico Nicolis,enrico.nicolis@marionegri.it,Enrico Nicolis; Martina Colombo,enrico.nicolis@marionegri.it; martina.colombo@marionegri.it,19394,1991,1993,no, ,"Baseline, 6 weeks, 6 months. Vital status at 1 and 10 years.",Italian,SPSS,Own coding system,Lisinopril; nitrate; Lisinopril and nitrate combination,Control,male=77.9%;female=22.1%,Acute myocardial infarction,,63± 11.7 ,16.10%,100%,male and female,Acute myocardial infarction,Myocardial infarction,>= 18 years old,,,,,,,,,,,,Combined endpoint : mortality and left ventricular damage, ,,,,
GISSI-AF,Cardiovascular diseases/Chronic kidney disease but no structural/functional heart disease,randomized controlled trial,"To evaluate whether in patients with previous atrial fibrillation (AF) episodes treated with the best recommended therapies the addition of valsartan, an angiotensin II type-1 receptor blocker (ARB), can prevent AF recurrence. Co-primary end-points of the study are: a) Time to first recurrence of AF, b) Rate of patients with more than one AF episode.Secondary end-points: total number of AF episodes; number of hospitalizations for CV reasons, number of all-cause hospitalizations, incidence of thromboembolic events, safety profile.",Italy,Mario Negri Institute for Pharmacological Research,Enrico Nicolis,enrico.nicolis@marionegri.it,Enrico Nicolis; Martina Colombo,enrico.nicolis@marionegri.it; martina.colombo@marionegri.it,1442,2004,2007,no, ,"Baseline,week 2, 4, 8 , 24 ",Italian,"SAS, SPSS",Own coding system,"Valsartan, an angiotensin II AT1-receptor blocker Titrated up to 320 mg/day, orally",Placebo (matched to valsartan),Male=62.3%; Female=37.7%,Atrial fibrillation,,67.32± 9.23 , ,100%,male and female,Atrial fibrillation,Atrial fibrillation,>= 18 years old,,,,,, , , , , , ,"The study includes substudies aimed at evaluating the mechanisms underlying atrial fibrillation (AF) recurrence. One substudy focuses on left atrial remodeling, assessing the effect of valsartan on left atrial dimensions using echocardiography. This investigation is based on the hypothesis that valsartan may counteract structural remodeling, such as atrial dilation or fibrosis, which contributes to the onset and maintenance of AF. Another substudy examines neurohormonal modulation, involving the measurement of key neurohormones including brain natriuretic peptide (BNP), norepinephrine, and aldosterone. These biomarkers serve as indicators of neurohormonal activation, a physiological response commonly observed in patients with AF and associated cardiovascular comorbidities.","total number of AF episodes; number of hospitalizations for cardiovascular reasons; number of all-cause hospitalizations, incidence of thromboembolic events, safety profile",,,,
GISSI-HF-Outcomes,established Heart failure,randomized controlled trial,To investigate whether long-term administration of n-3 PUFA and rosuvastatin is more effective than the corresponding placebo in reducing All-cause mortality and All-cause mortality or hospitalizations for cardiovascular reasons,Italy,Mario Negri Institute for Pharmacological Research,Enrico Nicolis,enrico.nicolis@marionegri.it,Enrico Nicolis; Martina Colombo,enrico.nicolis@marionegri.it; martina.colombo@marionegri.it,6975,2002,2008,no, ,"Baseline, 1 month, 3 months, 6 months, 1 year, 18 months, 2 year, 30 months, 3 year, 42 months, 4 years, 54 months, 5 years",Italian,SPSS,Own coding system,n-3 polyunsaturated fatty acids (PUFA);Rosuvastatin,Placebo,male=78.3%; female=21.7%,Heart failure,,67 ± 11 , ,100%,male and female,Heart failure,Heart failure,>= 18 years old,,,,,, , , , , , ,time to death; time to death or admission to hospital for cardiovascular reasons,Cardiovascular mortality;Cardiovascular mortality or admission for any reason;Sudden cardiac death;Admission for any reason;Admission for cardiovascular reasons;Admission for heart failure;Myocardial infarction;Stroke,https://pubmed.ncbi.nlm.nih.gov/18757090/,GISSI-HF,100,
GISSI-HF,established Heart failure,randomized controlled trial,To investigate whether long-term administration of n-3 PUFA and rosuvastatin is more effective than the corresponding placebo in reducing All-cause mortality and All-cause mortality or hospitalizations for cardiovascular reasons,Italy,Mario Negri Institute for Pharmacological Research,Enrico Nicolis,enrico.nicolis@marionegri.it,Enrico Nicolis; Martina Colombo,enrico.nicolis@marionegri.it; martina.colombo@marionegri.it,6975,2002,2008,no, ,"Baseline, 1 month, 3 months, 6 months, 1 year, 18 months, 2 year, 30 months, 3 year, 42 months, 4 years, 54 months, 5 years",Italian,SPSS,Own coding system,n-3 polyunsaturated fatty acids (PUFA);Rosuvastatin,Placebo,male=78.3%; female=21.7%,Heart failure,,67 ± 11 , ,100%,male and female,Heart failure,Heart failure,<= 78 and >= 56 years old,,,,,, , , , , , ,time to death; time to death or admission to hospital for cardiovascular reasons,Cardiovascular mortality;Cardiovascular mortality or admission for any reason;Sudden cardiac death;Admission for any reason;Admission for cardiovascular reasons;Admission for heart failure;Myocardial infarction;Stroke,https://pubmed.ncbi.nlm.nih.gov/18757090/,,1713,
GISSI Prevenzione,structural/functional heart disease but no Heart failure,randomized controlled trial,"To evaluate if and to what extent pharmacological treatments aimed at different and probably complementary risk factors for atherosclerosis and/or thrombosis improve the profile (in terms of survival, morbidity, quality of health) of patients surviving beyond the hospital phase of acute myocardial infarction.",Italy,Mario Negri Institute for Pharmacological Research,Enrico Nicolis,enrico.nicolis@marionegri.it,Enrico Nicolis; Martina Colombo,enrico.nicolis@marionegri.it; martina.colombo@marionegri.it,11323,1993,1995,no, ,"Baseline, month 6, 12, 18, 30, 42",Italian,SPSS,Own coding system,n-3 polyunsaturated fatty acids (PUFA); vitamin E   Pravastatin,Control,male=85.3%;female=14.7%,Myocardial infarction,,59.36 ± 10.56 , ,100%,male and female,Previous myocardial infarction,Previous myocardial infarction,>= 18 years old,,,,,, , , , , , ,deaths; non-fatal cardiovascular events, ,,,712,
Gluco-Insight,early risk,single arm cross over design,"To gain a better understanding of the relation between blood glucose levels and patterns, and contextual data in individuals with T2D. An enhanced understanding of this relation can provide insights on how individuals with T2D can modify their lifestyle to improve glycaemic control. Additionally, it is aimed to assess how different lifestyle interventions that are proven effective on a population level (Mediterranean diet, low-carb diet, PA) affect glucose fluctuations and specific CGM parameters for individuals. To make sense of the generated data, a combination of traditional and novel analysis/ modelling techniques will be used.",Netherlands,Netherlands Organization for Applied Scientific Research TNO,Martien Caspers,martien.caspers@tno.nl,Willem van den Brink,willem.vandenbrink@tno.nl,41,10/1/2020,Jul-22,no,,"screen baseline and visits: -1,0,2,13,24,27 (weeks). Continuous measurements during 24 weeks (eg. steps, physact, heartrate, sleep, glucose, stress, energy, concentration, mood, motivation,rest,metformin)",dutch;english,"excel, csv and json",Own coding system,"Baseline lifestyle without any interventio; hourly physical 5 min activity (between 9-16h); 15 min walk after breakfast, lunch & dinner;low carb diet (low sugar & starch);mediterranean diet (high fruits, vegetables, nuts, fish, whole grain & olive oil)",normal lifestyle (control),male=53.7%; female=46.3%,Type 2 Diabetes Mellitus,European;Dutch,62.3 ± 7.2 years,41,,male and female,Type 2 Diabetes Mellitus,Diagnosed with type 2 diabetes mellitus. Insulin naïve. Using either lifestyle and/or metformin for managing their diabetes., <= 69.5 and  >= 55.1 years old,"BMI 25 – 40 kg/m2, with preference for < 35 kg/m2. BMI 20 – 25 kg/m2 is also allowed, if aged 60-80 years.",,,,Insulin naïve. Using either lifestyle and/or metformin for managing their diabetes.,"A condition that would need an MRI in the upcoming 6 months; History of bariatric weight loss surgery; Planned (bariatric) surgery in the upcoming 6 months; Active cancer or chemotherapy or radiation within 2 years prior to participation; Chronic medical condition, treatment, or medication other than diabetes that may affect glucose metabolism (HIV diagnosis, use of steroids or immunosuppressive drugs, etc.); Chronic anaemia (haemoglobin of 6.2 mmol/l or less); Use of antibiotics or fertility treatments within 3 months prior to participation; Pregnancy or a pregnancy wish; 4 or more alcoholic drinks per day on a regular basis or use of recreational drugs; Skin allergy, eczema or known sensitivity for plasters; Coeliac or Crohns’ disease; Food allergies or intolerances including, gluten, wheat, egg, (pea)nuts, celery, sesame, soy, cacao, glutamate, legumes, coriander, maize, (shell)fish, chicken, beef, pork, lamb, sulphites, lupine, milk and lactose","Aged < 80 years · BMI 25 – 40 kg/m2, with preference for < 35 kg/m2 BMI 20 – 25 kg/m2 is also allowed, if aged 60-80 years ",,Planned (bariatric) surgery in the upcoming 6 months ·,History of bariatric weight loss surgery; Active cancer or chemotherapy or radiation within 2 years prior to participation.,,"The main outcome of this study will be the understanding and prediction of glucose levels using real life contextual data (e.g. food intake, PA, stress and sleep) as well as lifestyle interventions. The main study parameter in this study consists of continuous measured glucose values (mmol/l) measured with the use of the Dexcom G6.","An enhanced understanding of the relation of glucose levels and contextual data should provide insights on how to modify an unhealthy lifestyle via data driven digital behavioural coaching programs. Additionally, the different lifestyle interventions may be used to assess how these affect specific CGM parameters.",,,,
