VARIABLENAME,VARIABLELABEL,VARTYPE,UNITS,CATEGORICAL,MISSING,COUNT,NA,MIN,MAX,Formula,Categorical Value Concept Code,Categorical Value Concept Name,Categorical Value OMOP ID,Variable Concept Code,Variable Concept Name,Variable OMOP ID,Additional Context Concept Name,Additional Context Concept Code,Additional Context OMOP ID,Unit Concept Name,Unit Concept Code,Unit OMOP ID,Domain,Visits,Visit OMOP ID,Visit Concept Name,Visit Concept Code
Basal-bolus Insulin,drug treatment: Basal-bolus insulin,INT,,0 = No | 1 = Yes,,1600,,,,,loinc:LA32-8|loinc:LA33-6,No|Yes,45878245|45877994,atc:A10AD,"""Insulins and analogues for injection, intermediate- or long-acting combined with fast-acting""",21600728,,,,,,,Drug_Exposure,baseline,40766819,Baseline time,loinc:64103-5
Insulin Pump,drug treatment: insulin pump,INT,,0 = No | 1 = Yes,,1600,,,,,loinc:LA32-8|loinc:LA33-6,No|Yes,45878245|45877994,snomed:69805005,Insulin pump,4321388,,,,,,,Drug_Exposure,baseline,40766819,Baseline time,loinc:64103-5
Other DM Treatments,Other treatments for diabetes mellitus,INT,,0 = No | 1 = Yes,,1600,,,,,loinc:LA32-8|loinc:LA33-6,No|Yes,45878245|45877994,snomed:384953001,Antidiabetic agent,4298744,,,,,,,Drug_Exposure,baseline,40766819,Baseline time,loinc:64103-5
Hemoglobin,Hemoglobin,FLOAT,g/L,,,1600,,0,999.9,,,,,loinc:718-7,Hemoglobin [Mass/volume] in Blood,3000963,,,,gram per liter,ucum:	g/L,8636,Drug_Exposure,baseline,40766819,Baseline time,loinc:64103-5
RBC,red blood cell count,FLOAT,Tera/L,,,1600,,0,99.99,,,,,loinc:718-7,Red blood cell count,37393849,,,,trillion per liter,ucum:10*12/L,8734,Measurement,baseline,40766819,Baseline time,loinc:64103-5
WBC,white blood cell count,FLOAT,Giga/L,,,1600,,0,99.9,,,,,snomed:767002,White blood cell count,4298431,,,,billion per liter,ucum:10*9/L,9444,Measurement,baseline,40766819,Baseline time,loinc:64103-5
Platelets,platelet cell count,FLOAT,Giga/L,,,1600,,0,999,,,,,loinc:26515-7,Platelets [#/volume] in Blood,3007461,,,,billion per liter,ucum:10*9/L	,9444,Measurement,baseline,40766819,Baseline time,loinc:64103-5
Haematocrit,Haematocrit,FLOAT,%,,,1600,,0,999,,,,,loinc:20570-8,Hematocrit [Volume Fraction] of Blood,3009542,,,,percent,ucum:%,8554,Measurement,baseline,40766819,Baseline time,loinc:64103-5
Fasting insulinemia,Insulin in a fasting state,FLOAT,mU/L,,,1600,,0,999.9,,,,,loinc:27873-9,Insulin [Units/volume] in Serum or Plasma --fasting,3009413,,,,milliunit per liter,ucum:10*-3.[U]/L,44777578,Measurement,baseline,40766819,Baseline time,loinc:64103-5
Fasting glycemia,Blood glucose in a fasting state,FLOAT,mmol/L,,,1600,,0,99.9,,,,,loinc52302001,"Glucose measurement, fasting",4182052,,,,millimole per liter,ucum:mmol/L,8753,Measurement,baseline,40766819,Baseline time,loinc:64103-5
Fasting HbA1c,Glycated hemoglobin in a fasting state,FLOAT,%,,,1600,,0,99.9,,,,,loinc:71875-9,Hemoglobin A1c/Hemoglobin.total [Pure mass fraction] in Blood,42869630,,,,percent,ucum:%,8554,Measurement,baseline,40766819,Baseline time,loinc:64103-5
NT-proBNP,N-terminal pro b-type natriuretic peptide (NT-proBNP),FLOAT,ng/L,,,1600,,0,9999,,,,,loinc:41995-2,Natriuretic peptide.B prohormone N-Terminal [Moles/volume] in Serum or Plasma,3029435,,,,nanogram per liter,ucum:ng/L,8725,Measurement,baseline,40766819,Baseline time,loinc:64103-5
hsTnT,high sensitive  troponin T ,FLOAT,ng/L,,,1600,,0,99.9,,,,,loinc:33763-4,Troponin T.cardiac [Mass/volume] in Blood,3048529,,,,nanogram per liter,ucum:ng/L,8725,Measurement,baseline,40766819,Baseline time,loinc:64103-5
us-CRP,ultra-sensitive C-reactive protein,FLOAT,mg/L,,,1600,,0,99.9,,,,,loinc:30522-7,c reactive protein [mass/volume] in serum or plasma by high sensitivity method,3010156,,,,nanogram per liter,ucum:ng/L,8725,Measurement,baseline,40766819,Baseline time,loinc:64103-5
Triglycerides,Triglycerides,FLOAT,mmol/L or g/L,,,1600,,0,99.99,,,,,loinc:14927-8,Triglyceride [Moles/volume] in Serum or Plasma,3025839,,,,mmol/L or g/L,,,Measurement,baseline,40766819,Baseline time,loinc:64103-5
Cholesterol total,Cholesterol total,FLOAT,mmol/L or g/L,,,1600,,0,9.9,,,,,loinc:14647-2,Cholesterol [Moles/volume] in Serum or Plasma,3019900,,,,mmol/L or g/L,,,Measurement,baseline,40766819,Baseline time,loinc:64103-5
ASAT,aspartate aminotransferase (AST),FLOAT,U/L,,,1600,,0,999,,,,,loinc:1920-8,Aspartate aminotransferase [Enzymatic activity/volume] in Serum or Plasma,3013721,,,,unit per liter,ucum:[U]/L,8645,Measurement,baseline,40766819,Baseline time,loinc:64103-5
ALAT,alanine transaminase,FLOAT,U/L,,,1600,,0,999,,,,,loinc:76625-3,Alanine aminotransferase [Enzymatic activity/volume] in Blood,46235106,,,,unit per liter,ucum:[U]/L,8645,Measurement,baseline,40766819,Baseline time,loinc:64103-5
gamma-GT,gamma-GT,FLOAT,U/L,,,1600,,0,2000,,,,,loinc:2324-2,Gamma glutamyl transferase [Enzymatic activity/volume] in Serum or Plasma,3026910,,,,unit per liter,ucum:[U]/L,8645,Measurement,baseline,40766819,Baseline time,loinc:64103-5
Creatinine,Creatinine,FLOAT,µmol/L,,,1600,,0,999,,,,,loinc:2160-0,Creatinine [Mass/volume] in Serum or Plasma,3016723,,,,micromole per liter,ucum:umol/L,8749,Measurement,baseline,40766819,Baseline time,loinc:64103-5
GFR,estimated glomerular filtration rate,FLOAT,ml/min,,,1600,,0,999,CKD-EPI equation,,,,loinc:62238-1,"Glomerular filtration rate/1.73 sq M.predicted [Volume Rate/Area] in Serum, Plasma or Blood by Creatinine-based formula (C",40764999,,,,milliliter per minute,ucum:mL/min,8795,Measurement,baseline,40766819,Baseline time,loinc:64103-5
Albumin,Albumin,FLOAT,mg/L,,,1600,,0,99,,,,,snomed:1000821000000100,Serum albumin level,37392183,,,,milligram per liter,ucum:mg/L,8751,Measurement,baseline,40766819,Baseline time,loinc:64103-5
Creatinuria,Creatinine in urine,FLOAT,mmol/L,,,1600,,0,99.99,,,,,loinc:2149-3,Creatine [Mass/volume] in Urine,3008918,,,,millimole per liter,ucum:mmol/L,8753,Measurement,baseline,40766819,Baseline time,loinc:64103-5
Albumin to creatinine ratio,Ratio of Albumin to Creatinine in urine ,FLOAT,,,,1600,,0,99.9,,,,,snomed:250908004,Albumin/Creatinine [Ratio] in Urine,3020682,,,,,,,Measurement,baseline,40766819,Baseline time,loinc:64103-5
EFsimpson,Ejection fraction via simpson method,FLOAT,%,,,1600,,0,99.9,,,,,snomed:250908004,Left ventricular ejection fraction,4108582,,,,percent,ucum:%,8554,Measurement,baseline,40766819,Baseline time,loinc:64103-5
COsimpson,cardiac output via simpson method,FLOAT,L/min,,,1600,,0,99.9,,,,,snomed:82799009,Cardiac output,4221102,,,,liter per minute,ucum:L/min,8698,Measurement,baseline,40766819,Baseline time,loinc:64103-5
EDSWT,end-diastolic septal wall thickness,FLOAT,mm,,,1600,,0,99.9,,,,,loinc:LP73860-6,Thickness septal wall,1031343,,,,millimeter,ucum:mm,8588,Measurement,baseline,40766819,Baseline time,loinc:64103-5
LVEDD,left-ventricular end-diastolic diameter,FLOAT,mm,,,1600,,0,99.9,,,,,loinc:LP201909-1,Diameter at end diastole,37047549,,,,millimeter,ucum:mm,8588,Measurement,baseline,40766819,Baseline time,loinc:64103-5
EDPWT,end-diastolic peripheral wall thickness,FLOAT,mm,,,1600,,0,99.9,,,,,snomed:250928000,Left ventricular end-diastolic wall thickness,4353971,,,,millimeter,ucum:mm,8588,Measurement,baseline,40766819,Baseline time,loinc:64103-5
latE',lateral E prime,FLOAT,cm/s,,,1600,,0,99.9,,,,,loinc:LP408103-2,Tissue velocity.E-wave.max | Mitral valve lateral annulus | Cardiac ultrasound,37066259,,,,centimeter per second,ucum:cm/s,32738,Measurement,baseline,40766819,Baseline time,loinc:64103-5
E,E wave,FLOAT,cm/s,,,1600,,0,999.9,,,,,loinc:LP99769-9,Blood flow velocity E-wave,37065791,,,,centimeter per second,ucum:cm/s,32738,Measurement,baseline,40766819,Baseline time,loinc:64103-5
A,A wave,FLOAT,cm/s,,,1600,,0,999.9,,,,,loinc:LP72029-9,A-wave,1030141,,,,centimeter per second,ucum:cm/s,32738,Measurement,baseline,40766819,Baseline time,loinc:64103-5
EA,Ratio of E wave to A wave,FLOAT,,,,1600,,0,99.9,,,,,loinc:59129-7,Left ventricular E-wave/A-wave by US,40762222,,,,,,,Measurement,baseline,40766819,Baseline time,loinc:64103-5
