VARIABLENAME,VARIABLELABEL,VARTYPE,UNITS,CATEGORICAL,Missing,COUNT,NA,MIN,MAX,Definition,Visits,Formula,Variable Concept Name,Variable Concept Code,Variable OMOP ID,Domain,Additional Context Concept Name,Additional Context Concept Code,Additional Context OMOP ID,Categorical Value Concept Name,Categorical Value Concept Code,Categorical Value OMOP ID,Unit Concept Name,Unit Concept Code,Unit OMOP ID
TIgradient,Tricuspid atrioventricular gradient,str,MmHg,<30mmHg=Tricuspid Atrioventricular Gradient <30 mmHg|>30mmHg=Tricuspid Atrioventricular Gradient >30 mmHg|30mmHg=Tricuspid Atrioventricular Gradient =30 mmHg,,11332,,,,,,,tricuspid atrioventricular gradient,snomed:251083001,4108721,measurement,,,,little or < 5 mm|40mm|30mm,loinc:LA33166-2|snomed:264717004|snomed:264711003,1762620|4131984|4131982,millimeter mercury column,ucum:mm[Hg],8876
DiastolischLVfunctierestrictief,Left ventricular diastolic dysfunction,str,,1=yes|0=no,,11332,,,,,,,left ventricular diastolic dysfunction,snomed:395704004,4212798,condition_occurrence,,,,yes|no,loinc:LA33-6|loinc:LA32-8,45877994|45878245,,,
VenaCavaInferiordiameter,Inferior vena cava Diameter by US,str,mm,15-25mm=Inferior vena cava Diameter between at 15 and 25| <15mm=Inferior vena cava Diameter less than 15| >25mm=Inferior vena cava Diameter more than 25,,11332,,,,,,,inferior vena cava diameter by us,loinc:18006-7,3005557,measurement,,,,,,,millimeter,ucum:mm,8588
VCICollaps,collapse of vena cava,str,,>50%=more than 50%| <50%=less than 50| 100%=full,,11332,,,,,,,obstruction of superior vena cava,snomed:766949003,35624289,condition_occurrence,,,,more than 50% of the time|<50|100%,loinc:LA15534-3|loinc:LA15691-1|loinc:LA15253-0,45883625|45883438|45883548,,,
RVfalen,Right Ventricular Failure finding,str,,1=yes|0=no,,11332,,,,,,,Right ventricular failure,snomed:367363000,4273632,observation,,,,yes|no,loinc:LA33-6|loinc:LA32-8,45877994|45878245,,,
NYHA,New York Heart Association classification that range from I:(no limitation) to IV:(severe limitation),str,, NYHA I=new york heart failure class 1|NYHA II=new york heart failure class 2| NYHA III=new york heart failure class 3| NYHA IV=new york heart failure class 4,,11332,,,,,,,new york heart association classification,snomed:420816009,4223299,measurement,,,,New York Heart Association Classification - Class I| New York Heart Association Classification - Class II| New York Heart Association Classification - Class III| New York Heart Association Classification - Class IV,snomed:420300004| snomed:421704003| snomed:420913000| snomed:422293003,4220607|4226789|4227345|4228881,,,
Stabiel,Patient's condition stable:finding,str,,1=yes|0=no,,11332,,,,,,,patient's condition stable,snomed:359746009,4234874,observation,patient,loinc:LA4634-7,45880001,stable|unstable,snomed:58158008|loinc:LA14123-6,4241442|45883034,,,
Redeninstabiel,reason of patient's unstable condition,str,,,,11332,,,,,,,patient's condition unstable,snomed:162668006,4037288,condition_occurrence,patient condition finding,snomed:418138009,4167037,,,,,,
Rusthartfrequentie,Resting heart rate,int,beats per minute,,,11332,,33,180,,,,resting heart rate,snomed:444981005,40481601,measurement,,,,,,,counts per minute,{counts}/min,8483
Ritme,Cardiac Rhythm diagnosed,str,,"Sinusritme=Sinus Rhythm|AF permanent=Permanent Atrial Fibrillation|Pacemaker ritme=Pacemaker Rhythm|AF persisterend=Persistent Atrial Fibrillation|AF maar type onbekend=Atrial Fibrillation, type unknown|AF paroxysmaal=Paroxysmal Atrial Fibrillation|Ectopisch=Ectopic Rhythm",,11332,,,,,,,cardiac arrhythmia,snomed:698247007,44784217,condition_occurrence,cardiac rhythm type,snomed:251149006,4091457,sinus rhythm|permanent atrial fibrillation|rhythm from artificial pacing|persistent atrial fibrillation|atrial fibrillation|paroxysmal atrial fibrillation|ectopic rhythm,snomed:251150006|snomed:440028005|snomed:10370003|snomed:440059007|snomed:49436004|snomed:282825002|snomed:29320008,4091898|4232691|4304202|4232697|313217|4154290|4164083,,,
Ectopischritme,Type of Ectopic Rhythm diagnosed,str,,,,11332,,,,,,,ectopic rhythm,snomed:29320008,4164083,condition_occurrence,cardiac arrhythmia,snomed:698247007,44784217,,,,,,
Geleidingsstoornissen2,conduction system disorder,str,,LBTB=Left Bundle Branch Block|geleidingsvertraging=Conduction Delay|1e graads AV blok=First-degree AV Block|3e graads AV blok=Third-degree AV Block|Gecombineerde geleidingsstoornis=Combined Conduction Disorder|Bifasciculair blok=Bifascicular Block|2e graads AV blok=Second-degree AV Block|Trifasciculair blok=Trifascicular Block,,11332,,,,,,,conduction disorder of the heart,snomed:44808001,316999,measurement,,,,left bundle branch block|non-specific intraventricular conduction delay|av block-1st degree|av block-3rd degree|conduction disorder of the heart|bifascicular block|second degree atrioventricular block|trifascicular block,snomed:63467002|snomed:698252002|loinc:LA17086-2|loinc:LA17089-6|snomed:44808001|snomed:74021003|snomed:195042002|snomed:86014007,316998|44784220|45884784|45884786|316999|4250169|318448|321315,,,
Geleidingsstoornissen1,conduction system disorder,str,,Geen geleidingsstoornis=No Conduction Disorder|Ventriculaire geleidingsstoornis=Ventricular Conduction Disorder|AV geleidingsstoornis=AV Conduction Disorder|SA-blok=Sinoatrial Block|Gecombineerde geleidingsstoornis=Combined Conduction Disorder,,11332,,,,,,,conduction disorder of the heart,snomed:44808001,316999,condition_occurrence,,,,conduction disorder of the heart|atrioventricular conduction disorder|atrioventricular conduction disorder|sinoatrial block|conduction disorder of the heart,snomed:44808001|snomed:418341009|snomed:418341009|snomed:65778007|snomed:44808001,316999|4305210|4305210|4277903|316999,,,
LBTB,Left Bundle Branch Block(LBBB) disorder,str,,1=yes|0=no,,11332,,,,,,,left bundle branch block,snomed:63467002,316998,condition_occurrence,,,,yes|no,loinc:LA33-6|loinc:LA32-8,45877994|45878245,,,
RBTB,Right Bundle Branch Block(RBBB) disorder,str,,1=yes|0=no,,11332,,,,,,,right bundle branch block,snomed:59118001,314059,condition_occurrence,conduction disorder of the heart,snomed:44808001,316999,yes|no,loinc:LA33-6|loinc:LA32-8,45877994|45878245,,,
QRS_2,QRS terminal amplitude in lead V2,int,,,,11332,,60,256,,,,qrs terminal amplitude in lead v2,loinc:9980-4,3024346,measurement,,,,,,,,,
CreatineumolL,Creatinine level in micromoles per liter,int,umol/L,,,11332,,3.8,9102,,,,creatinine [mass/volume] in serum or plasma,loinc:2160-0,3016723,measurement,,,,,,,micromole per liter,ucum:umol/L,8749
eGFR,estimated glomerular filtration rate,float,mL/min/(173.10*-2.m2),,,11332,,2.36,151.06,,,,Estimated creatinine clearance calculated using actual body weight Cockcroft-Gault formula,Snomed:1556501000000100,37169169,measurement,,,,,,,milliliter per minute per 1.73 square meter,ucum:mL/min/(173.10*-2.m2),720870
KaliummmolL,Potassium level in micromoles per liter,str,umol/L,,,11332,,,,,,,Potassium [Moles/volume] in Blood,Loinc:6298-4,3005456,measurement,,,,,,,micromole per liter,ucum:umol/L,8749
Maligniteit,malignant neoplasm,str,,1=yes|0=no,,11332,,,,,,,malignant neoplasm,snomed:1240414004,37153816,condition_occurrence,,,,yes|no,loinc:LA33-6|loinc:LA32-8,45877994|45878245,,,
Polygrafie,polysomnography performed,str,,1=yes|0=no,,11332,,,,,,,polysomnography,snomed:60554003,4189015,procedure_occurrence,,,,yes|no,loinc:LA33-6|loinc:LA32-8,45877994|45878245,,,
Vochtbeperking,fluid intake restrictions,str,,1=yes|0=no,,11332,,,,,,,fluid restriction,snomed:25389001,4103309,procedure_occurrence,,,,yes|no,loinc:LA33-6|loinc:LA32-8,45877994|45878245,,,
Natriumbeperking,sodium chloride intake restrictions,str,,1=yes|0=no,,11332,,,,,,,chloride salt intake,snomed:1148944005,602964,measurement,restricted,snomed:263856008,4137826,yes|no,loinc:LA33-6|loinc:LA32-8,45877994|45878245,,,
Antistolling,anticoagulation (blood-thinning) therapy,str,,OAC=Oral Anticoagulant|Tromb aggregatie remmers=Antiplatelet Drugs|DAPT=Dual Antiplatelet Therapy|nvt=Not applicable|NOAC=Non-vitamin K Oral Anticoagulant (DOAC)|OAC + tromb aggregatieremmer=OAC+Antiplatelet|TAPT=Triple Antiplatelet Therapy|Contraindicatie=Contraindicated|Gestopt ivm bijwerkingen=Discontinued due to side effects|OAC DAPT=OAC+DAPT|NOAC + tromb aggregatie remmer=NOAC+Antiplatelet|NOAC + DAPT=NOAC+DAPT|OAC NOAC=Both OAC and NOAC,,11332,,,,,,,ANTITHROMBOTIC AGENTS,atc:B01A,21600961,drug_exposure,,,,oral anticoagulants|platelet aggregation inhibitor|dual antiplatelet therapy|not applicable|non-vitamin K antagonist oral anticoagulants|oral anticoagulants and antiplatelet drugs|triple antiplatelet therapy|contraindicated|medication stopped - side effect|oral anticoagulation and dual antiplatelet therapy|non-vitamin K antagonist oral anticoagulants and antiplatelet therapy|non-vitamin K  oral anticoagulants and dual antiplatelet therapy|oral anticoagulants and non-vitamin K antagonist oral antcoagulants,icare:icv200000075|snomed:771451006|icare:icv200000070|snomed:385432009|icare:icv200000071|icare:icv200000072|icare:icv200000073|snomed:410536001|snomed:395009001|icare:icv200000074|icare:icv200000076|icare:icv200000077|icare:icv200000078,2000000075|36675125|2000000070|4294169|2000000071|2000000072|2000000073|4253634|4216319|2000000074|2000000076|2000000077|2000000078,,,
Diuretica,diuretics,str,,Furosemide=Furosemide|Bumetanide=Bumetanide|nvt=Not applicable|HCTZ=Hydrochlorothiazide|Gestopt ivm bijwerkingen=Discontinued due to side effects|Triamtereen=Triamterene|Contraindicatie=Contraindicated,999|7,11332,,,,,,,diuretics,atc:C03,21601461,drug_exposure,,,,furosemide|bumetanide|not applicable|hydrochlorothiazide|medication stopped - side effect|triamterene|contraindicated,rxnorm:4603|rxnorm:1808|snomed:385432009|rxnorm:5487|snomed:395009001|rxnorm:10763|snomed:410536001,956874|932745|4294169|974166|4216319|904542|4253634,,,
DoseringDiuretica,diuretics: dosage,str,mg (miligram),,,11332,,,,,,,diuretics,atc:C03,21601461,drug_exposure,Dosage,snomed:260911001,4118853,,,,milligram,ucum:mg,8576
DosisDiuretica,diuretic: daily dosage (no unit),float,,,,11332,,0.5,1040,,,,diuretics,atc:C03,21601461,drug_exposure,Dosage,snomed:260911001,4118853,,,,,,
DosisfrequentieDiuretica,diuretic:daily frequency,int,,1=once a day|2=twice a day,,11332,,1=ja|0=nee4,120,,,,diuretics,atc:C03,21601461,drug_exposure,Dosage|frequency per day,snomed:260911001|snomed:307438009,4118853|4145077,1 time per day|2 times per day,loinc:LA13827-3|loinc:LA13840-6,45885250|45883167,,,
DagdosisDiuretica,diuretic: total daily dosage,int,,,,11332,,0,1500,,,,diuretics,atc:C03,21601461,drug_exposure,Dosage|total,snomed:260911001|snomed:255619001,4118853|4112438,,,,,,
Furosemide_equivalent,diuretics dose expressed in an amount equivalent to Furosemide,int,mg (miligram),,,11332,,0,9600,,,,diuretics,atc:C03,21601461,drug_exposure,furosemide,rxnorm:4603,956874,,,,milligram,ucum:mg,8576
Statines,statin therapy,str,,simvastatine=Simvastatin|nvt=Not applicable|atorvastatine=Atorvastatin|rosuvastatine=Rosuvastatin|pravastatine=Pravastatin|gestopt ivm bijwerkingen=Discontinued due to side effects|ezetimibe/simvastatine=Ezetimibe/Simvastatin combination|fluvastatine=Fluvastatin|contraindicatie=Contraindicated,,11332,,,,,,,hmg-coa reductase inhibitor,atc:C10AA,21601855,drug_exposure,,,,simvastatin|atorvastatin|rosuvastatin|pravastatin|medication stopped - side effect|ezetimibe / simvastatin oral tablet|fluvastatin|contraindicated,rxnorm:36567|rxnorm:83367|rxnorm:301542|rxnorm:42463|snomed:395009001|rxnorm:476348|rxnorm:41127|snomed:410536001,1539403|1545958|1510813|1551860|4216319|40054620|1549686|4253634,,,
Statine,statin therapy:Medication administered,int,,1=yes|0=no,,11332,,0,1,,,,hmg-coa reductase inhibitor,atc:C10AA,21601855,drug_exposure,Medication administration,loinc:LP207306-4,706336,"administer|""not administered, unknown reason""",snomed:738990001|loinc:LA4706-3,42538098|45876430,,,
DoseringStatines,statin: daily dosage,str,mg (miligram),,,11332,,,,,,,hmg-coa reductase inhibitor,atc:C10AA,21601855,drug_exposure,Dosage,snomed:260911001,4118853,,,,milligram,ucum:mg,8576
DosisStatines,statin: daily dosage (no unit),float,,,,11332,,5,100,,,,hmg-coa reductase inhibitor,atc:C10AA,21601855,drug_exposure,Dosage|total,snomed:260911001|snomed:255619001,4118853|4112438,,,,,,
DosisfrequentieStatines,statins: daily frequency,int,,,9999,11332,,1,9999,,,,hmg-coa reductase inhibitor,atc:C10AA,21601855,drug_exposure,Dosage|frequency per day,snomed:260911001|snomed:307438009,4118853|4145077,,,,per 24 hours,ucum:/(24.h),44777556
ACE,Angiotensin-converting enzyme inhibitor,str,,nvt=Not applicable|perindopril=Perindopril|lisinopril=Lisinopril|ramipril=Ramipril|gestopt ivm bijwerkingen=Discontinued due to side effects|quinapril=Quinapril|enalapril=Enalapril|fosinopril=Fosinopril|contraindicatie=Contraindicated|captopril=Captopril|trandolapril=Trandolapril|zofenopril=Zofenopril,,11332,,,,,,,ACE inhibitors plain,atc:C09AA,21601784,drug_exposure,,,,not applicable|perindopril|lisinopril|ramipril|medication stopped - side effect|quinapril|enalapril|fosinopril|contraindicated|captopril|trandolapril|zofenopril,snomed:385432009|rxnorm:54552|rxnorm:29046|rxnorm:35296|snomed:395009001|rxnorm:35208|rxnorm:3827|rxnorm:50166|snomed:410536001|rxnorm:1998|rxnorm:38454|rxnorm:39990,4294169|1373225|1308216|1334456|4216319|1331235|1341927|1363749|4253634|1340128|1342439|19102107,,,
ACEinhibitor,Angiotensin-converting enzyme:Medication administered,int,,1=yes|0=no,,11332,,0,1,,,,ACE inhibitors plain,atc:C09AA,21601784,drug_exposure,Medication administration,loinc:LP207306-4,706336,yes|no,loinc:LA33-6|loinc:LA32-8,45877994|45878245,,,
ACE_contra,angiotensin-converting enzyme inhibitors: contraindications,int,,1=yes|0=no,,11332,,0,1,,,,ACE inhibitors plain,atc:C09AA,21601784,drug_exposure,contraindicated,snomed:410536001,4253634,yes|no,loinc:LA33-6|loinc:LA32-8,45877994|45878245,,,
DoseringACE,Angiotensin-Converting Enzyme drug:dosage,str,mg (miligram),,,11332,,,,,,,ACE inhibitors plain,atc:C09AA,21601784,drug_exposure,Dosage,snomed:260911001,4118853,,,,milligram,ucum:mg,8576
DosisACE,Angiotensin-Converting Enzyme inhibitors: daily dosage (no unit),float,,,,11332,,0.625,9999,,,,ACE inhibitors plain,atc:C09AA,21601784,drug_exposure,Dosage,snomed:260911001,4118853,,,,,,
DagdosisACE,Angiotensin-Converting Enzyme inhibitors:total daily dosage,float,mg (miligram),,,11332,,0,9999,,,,ACE inhibitors plain,atc:C09AA,21601784,drug_exposure,Dosage|total,snomed:260911001|snomed:255619001,4118853|4112438,,,,milligram,ucum:mg,8576
ACEDose,Angiotensin-converting enzyme: Percentage of target dose,float,percent ,,,11332,,0,400,,,,ACE inhibitors plain,atc:C09AA,21601784,drug_exposure,Fractionated dose,Snomed:47501000087100,1244023,,,,percent,ucum:%,8554
ARB,Angiotensin II Receptor Blockers,str,,nvt=Not applicable|valsartan=Valsartan|losartan=Losartan|irbesartan=Irbesartan|candesartan=Candesartan|telmisartan=Telmisartan|olmesartan=Olmesartan|gestopt ivm bijwerkingen=Discontinued due to side effects|contraindica,,11332,,,,,,,"""Angiotensin II receptor blockers (ARBs), plain""",atc:C09CA,21601823,drug_exposure,,,,not applicable|valsartan|losartan|irbesartan|candesartan|telmisartan|medication stopped - side effect|contraindicated|olmesartan,snomed:385432009|rxnorm:69749|rxnorm:52175|rxnorm:83818|rxnorm:214354|rxnorm:73494|snomed:395009001|snomed:410536001|rxnorm:321064,4294169|1308842|1367500|1347384|1351557|1317640|4216319|4253634|40226742,,,
ARB01,Angiotensin II Receptor Blockers: Medication administered,int,,1=yes|0=no,,11332,,0,1,,,,Angiotensin II receptor blockers (ARBs) plain,atc:C09CA,21601823,drug_exposure,Medication administration,loinc:LP207306-4,706336,yes|no,loinc:LA33-6|loinc:LA32-8,45877994|45878245,,,
ARB_contra,Angiotensin II Receptor Blockers: Contraindicated?,int,,1=yes|0=no,,11332,,0,1,,,,Angiotensin II receptor blockers (ARBs) plain,atc:C09CA,21601823,drug_exposure,contraindicated,snomed:410536001,4253634,yes|no,loinc:LA33-6|loinc:LA32-8,45877994|45878245,,,
DoseringARB,Dosage of Angiotensin II Receptor Blockers: dosage,str,mg (miligram),,,11332,,,,,,,Angiotensin II receptor blockers (ARBs) plain,atc:C09CA,21601823,drug_exposure,Dosage,snomed:260911001,4118853,,,,milligram,ucum:mg,8576
DosisARB,Angiotensin II Receptor Blockers inhibitors daily dosage (no unit),float,,,,11332,,2,340,,,,Angiotensin II receptor blockers (ARBs) plain,atc:C09CA,21601823,drug_exposure,Dosage|frequency per day,snomed:260911001|snomed:307438009,4118853|4145077,,,,,,
DosisfrequentieARB,Angiotensin II Receptor Blockers inhibitors: daily dose frequency,int,,1=once a day|2=twice a day|3=three times a day,,11332,,1,3,,,,Angiotensin II receptor blockers (ARBs) plain,atc:C09CA,21601823,drug_exposure,Dosage|total,snomed:260911001|snomed:255619001,4118853|4112438,1 time per day|2 times per day|3 times per day,loinc:LA13827-3|loinc:LA13840-6|loinc:LA13851-3,45885250|45883167|45883169,,,
DagdosisARB,Angiotensin II Receptor Blockers inhibitors: total daily dosage,float,mg (miligram),,,11332,,0,600,,,,Angiotensin II receptor blockers (ARBs) plain,atc:C09CA,21601823,drug_exposure,,,,,,,milligram,ucum:mg,8576
Renineremmer,Renin-inhibitorss:Medication administered,str,,ja=yes|nee=no,,11332,,,,,,,Renin-inhibitors,atc:C09XA,21601849,drug_exposure,Medication administration,loinc:LP207306-4,706336,yes|no,loinc:LA33-6|loinc:LA32-8,45877994|45878245,,,
DoseringRenineremmer,Renin-inhibitors: dosage,str,,,,11332,,,,,,,Renin-inhibitors,atc:C09XA,21601849,drug_exposure,Dosage,snomed:260911001,4118853,,,,,,
DosisRenineremmer,Renin-inhibitors : daily dosage (no unit),float,,,,11332,,150,300,,,,Renin-inhibitors,atc:C09XA,21601849,drug_exposure,Dosage,snomed:260911001,4118853,aliskiren 150 MG Oral Tablet|aliskiren 300 MG Oral Tablet,rxnorm:1011736|rxnorm:1011739,40226387|40226406,,,
DosisfrequentieRenineremmer,Renin-inhibitors:daily dose frequency,int,,,,11332,,1,2,,,,Renin-inhibitors,atc:C09XA,21601849,drug_exposure,Dosage|frequency per day,snomed:260911001|snomed:307438009,4118853|4145077,,,,,,
DagdosisRenineremmer,Renin-inhibitors inhibitors:total daily dose,int,mg (miligram),,,11332,,0,300,,,,Renin-inhibitors,atc:C09XA,21601849,drug_exposure,Dosage|total,snomed:260911001|snomed:255619001,4118853|4112438,,,,milligram,ucum:mg,8576
Betablocker,Beta blocking agent,str,,,,11332,,,,,,,beta blocking agents,atc:C07A,21601665,drug_exposure,,,,,,,,,
BB,Beta blocking agent:Medication administered,int,,1=yes|0=no,,11332,,0,1,,,,BETA BLOCKING AGENTS,atc:C07A,21601665,drug_exposure,Medication administration,loinc:LP207306-4,706336,yes|no,loinc:LA33-6|loinc:LA32-8,45877994|45878245,,,
BB_excl_sotalol,Beta blocking agent except sotalol:Medication administered,int,,1=yes|0=no,,11332,,0,1,,,,BETA BLOCKING AGENTS,atc:C07A,21601665,drug_exposure,Medication administration|Except for|sotalol,loinc:LP207306-4|snomed:5185003|rxnorm:9947,706336|4198066|1370109,yes|no,loinc:LA33-6|loinc:LA32-8,45877994|45878245,,,
Sotalol,sotalol:Medication administered,int,,1=yes|0=no,,11332,,0,1,,,,sotalol,rxnorm:9947,1370109,drug_exposure,Medication administration,loinc:LP207306-4,706336,yes|no,loinc:LA33-6|loinc:LA32-8,45877994|45878245,,,
BB_contra,Beta blocking agent:contraindication?,int,,1=yes|0=no,,11332,,0,1,,,,BETA BLOCKING AGENTS,atc:C07A,21601665,drug_exposure,contraindicated,snomed:410536001,4253634,yes|no,loinc:LA33-6|loinc:LA32-8,45877994|45878245,,,
DoseringBblocker,Beta blocking agent therapy :daily dosage,str,mg (miligram),,,11332,,,,,,,BETA BLOCKING AGENTS,atc:C07A,21601665,drug_exposure,Dosage,snomed:260911001,4118853,,,,milligram,ucum:mg,8576
DosisBblocker,Beta blocking agent:daily dosage (no unit),float,,,,11332,,1,400,,,,BETA BLOCKING AGENTS,atc:C07A,21601665,drug_exposure,Dosage,snomed:260911001,4118853,,,,,,
DosisfrequentieBblocker,Beta blocking agent : dosing frequency,int,,1=once a day|2=twice a day|3=three times a day,,11332,,1,3,,,,BETA BLOCKING AGENTS,atc:C07A,21601665,drug_exposure,Dosage|frequency per day,snomed:260911001|snomed:307438009,4118853|4145077,1 time per day|2 times per day|3 times per day,loinc:LA13827-3|loinc:LA13840-6|loinc:LA13851-3,45885250|45883167|45883169,,,
DagdosisBblocker,Beta blocking agent:total daily dose,float,,,,11332,,0,800,,,,BETA BLOCKING AGENTS,atc:C07A,21601665,drug_exposure,Dosage|total,snomed:260911001|snomed:255619001,4118853|4112438,,,,,,
BBDose,Beta blocking agent: Percentage of dose,float,percent ,,,11332,,0,2000,,,,BETA BLOCKING AGENTS,atc:C07A,21601665,drug_exposure,Fractionated dose,Snomed:47501000087100,1244023,,,,percent,ucum:%,8554
MRA,Mineralocorticoid Receptor Antagonists,str,,nvt=Not applicable|spironolactone=spironolactone| gestopt ivm bijw=medication stopped due to side effects| contraindicatie=contraindicated,,11332,,,,,,,Aldosterone antagonists,atc:C03DA,21601533,drug_exposure,Medication administration,loinc:LP207306-4,706336,not applicable|spironolactone|eplerenone|medication stopped - side effect|contraindicated,snomed:385432009|rxnorm:9997|rxnorm:298869|snomed:395009001|snomed:410536001,4294169|970250|1309799|4216319|4253634,,,
MRA01,Mineralocorticoid Receptor Antagonists:Medication administered,int,,1=yes|0=no,,11332,,0,1,,,,Aldosterone antagonists,atc:C03DA,21601533,drug_exposure,Medication administration,loinc:LP207306-4,706336,"medication administered|not administered, unknown reason",loinc:29303-5|loinc:LA4706-3,3025263|45876430,,,
