source,target,somop_id,tomop_id,scode,slabel,tcode,tlabel,category,mapping type,source_visit,target_visit,source_type,source_unit,source_data_type,target_type,target_unit,target_data_type,transformation_rule
diuadjbl,dosisdiuretica,21601461,21601461,atc:c03,diuretics,atc:c03,diuretics,drug_exposure,exact match,baseline time,baseline time,multi_class_variable,,int,continuous_variable,,float,"For drug-related variables in harmonization, first examine any accompanying categorical context—such as therapy adjustments or descriptive qualifiers—because these details may not align neatly with the drug-dosage columns and harmonization may not be possible."
diuadjbl,doseringdiuretica,21601461,21601461,atc:c03,diuretics,atc:c03,diuretics,drug_exposure,exact match,baseline time,baseline time,multi_class_variable,,int,qualitative_variable,milligram,str,"This variable pair involves categorical variable (binary or multi-class) and  a qualitative variable (string/text-based). Harmonization is conditionally possible if the qualitative variable contains a finite and consistently used set of values that can be reliably mapped to the categorical codes. Transformation requires: (1) value normalization (e.g., spelling, casing), and (2) manual or automated mapping to standardized categories. This process may incur minor information loss and should be justified based on the harmonization goal. Applicability is limited to cases where the qualitative variable represents discrete categories, not unstructured narrative text."
diuadjbl,dagdosisdiuretica,21601461,21601461,atc:c03,diuretics,atc:c03,diuretics,drug_exposure,exact match,baseline time,baseline time,multi_class_variable,,int,continuous_variable,,int,"For drug-related variables in harmonization, first examine any accompanying categorical context—such as therapy adjustments or descriptive qualifiers—because these details may not align neatly with the drug-dosage columns and harmonization may not be possible."
diuadjbl,furosemide_equivalent,21601461,21601461,atc:c03,diuretics,atc:c03,diuretics,drug_exposure,exact match,baseline time,baseline time,multi_class_variable,,int,continuous_variable,milligram,int,"For drug-related variables in harmonization, first examine any accompanying categorical context—such as therapy adjustments or descriptive qualifiers—because these details may not align neatly with the drug-dosage columns and harmonization may not be possible."
diuadjbl,diuretica,21601461,21601461,atc:c03,diuretics,atc:c03,diuretics,drug_exposure,exact match,baseline time,baseline time,multi_class_variable,,int,multi_class_variable,,str,"For harmonization, no transformation required if categorical values are the same, otherwise transformation is needed on categorical values"
diuadjbl,diureticumyn,21601461,21601461,atc:c03,diuretics,atc:c03,diuretics,drug_exposure,exact match,baseline time,baseline time,multi_class_variable,,int,binary_class_variable,,str,"For harmonization convert multi-class variables to binary classes, but accept only the degree of information loss justified by the research question. For drug-related variables, scrutinize the surrounding categorical context—e.g., therapy adjustments or supplemental medication descriptors—before deciding on the optimal harmonization, because these details may not map cleanly onto a binary split."
blspiro,doseringmra,21601533,21601533,atc:c03da,aldosterone antagonists,atc:c03da,aldosterone antagonists,drug_exposure,exact match,baseline time,baseline time,multi_class_variable,,int,qualitative_variable,milligram,str,"This variable pair involves categorical variable (binary or multi-class) and  a qualitative variable (string/text-based). Harmonization is conditionally possible if the qualitative variable contains a finite and consistently used set of values that can be reliably mapped to the categorical codes. Transformation requires: (1) value normalization (e.g., spelling, casing), and (2) manual or automated mapping to standardized categories. This process may incur minor information loss and should be justified based on the harmonization goal. Applicability is limited to cases where the qualitative variable represents discrete categories, not unstructured narrative text."
blspiro,mraoptimaal,21601533,21601533,atc:c03da,aldosterone antagonists,atc:c03da,aldosterone antagonists,drug_exposure,exact match,baseline time,baseline time,multi_class_variable,,int,multi_class_variable,,str,"For harmonization, no transformation required if categorical values are the same, otherwise transformation is needed on categorical values"
blspiro,dosismra,21601533,21601533,atc:c03da,aldosterone antagonists,atc:c03da,aldosterone antagonists,drug_exposure,exact match,baseline time,baseline time,multi_class_variable,,int,continuous_variable,,float,"For drug-related variables in harmonization, first examine any accompanying categorical context—such as therapy adjustments or descriptive qualifiers—because these details may not align neatly with the drug-dosage columns and harmonization may not be possible."
blspiro,mra_contra,21601533,21601533,atc:c03da,aldosterone antagonists,atc:c03da,aldosterone antagonists,drug_exposure,exact match,baseline time,baseline time,multi_class_variable,,int,binary_class_variable,,int,"For harmonization convert multi-class variables to binary classes, but accept only the degree of information loss justified by the research question. For drug-related variables, scrutinize the surrounding categorical context—e.g., therapy adjustments or supplemental medication descriptors—before deciding on the optimal harmonization, because these details may not map cleanly onto a binary split."
blspiro,mra,21601533,21601533,atc:c03da,aldosterone antagonists,atc:c03da,aldosterone antagonists,drug_exposure,exact match,baseline time,baseline time,multi_class_variable,,int,multi_class_variable,,str,"For harmonization, no transformation required if categorical values are the same, otherwise transformation is needed on categorical values"
blspiro,mra01,21601533,21601533,atc:c03da,aldosterone antagonists,atc:c03da,aldosterone antagonists,drug_exposure,exact match,baseline time,baseline time,multi_class_variable,,int,binary_class_variable,,int,"For harmonization convert multi-class variables to binary classes, but accept only the degree of information loss justified by the research question. For drug-related variables, scrutinize the surrounding categorical context—e.g., therapy adjustments or supplemental medication descriptors—before deciding on the optimal harmonization, because these details may not map cleanly onto a binary split."
blspiro,mradose,21601533,21601533,atc:c03da,aldosterone antagonists,atc:c03da,aldosterone antagonists,drug_exposure,exact match,baseline time,baseline time,multi_class_variable,,int,continuous_variable,percent,float,"For drug-related variables in harmonization, first examine any accompanying categorical context—such as therapy adjustments or descriptive qualifiers—because these details may not align neatly with the drug-dosage columns and harmonization may not be possible."
blspiro,mrayn,21601533,21601533,atc:c03da,aldosterone antagonists,atc:c03da,aldosterone antagonists,drug_exposure,exact match,baseline time,baseline time,multi_class_variable,,int,binary_class_variable,,str,"For harmonization convert multi-class variables to binary classes, but accept only the degree of information loss justified by the research question. For drug-related variables, scrutinize the surrounding categorical context—e.g., therapy adjustments or supplemental medication descriptors—before deciding on the optimal harmonization, because these details may not map cleanly onto a binary split."
blspiro,dagdosismra,21601533,21601533,atc:c03da,aldosterone antagonists,atc:c03da,aldosterone antagonists,drug_exposure,exact match,baseline time,baseline time,multi_class_variable,,int,continuous_variable,,float,"For drug-related variables in harmonization, first examine any accompanying categorical context—such as therapy adjustments or descriptive qualifiers—because these details may not align neatly with the drug-dosage columns and harmonization may not be possible."
blspiro,dosisfrequentiemra,21601533,21601533,atc:c03da,aldosterone antagonists,atc:c03da,aldosterone antagonists,drug_exposure,exact match,baseline time,baseline time,multi_class_variable,,int,continuous_variable,,int,"For drug-related variables in harmonization, first examine any accompanying categorical context—such as therapy adjustments or descriptive qualifiers—because these details may not align neatly with the drug-dosage columns and harmonization may not be possible."
spiroat_bl,doseringmra,21601533,21601533,atc:c03da,aldosterone antagonists,atc:c03da,aldosterone antagonists,drug_exposure,exact match,baseline time,baseline time,binary_class_variable,,int,qualitative_variable,milligram,str,"This variable pair involves categorical variable (binary or multi-class) and  a qualitative variable (string/text-based). Harmonization is conditionally possible if the qualitative variable contains a finite and consistently used set of values that can be reliably mapped to the categorical codes. Transformation requires: (1) value normalization (e.g., spelling, casing), and (2) manual or automated mapping to standardized categories. This process may incur minor information loss and should be justified based on the harmonization goal. Applicability is limited to cases where the qualitative variable represents discrete categories, not unstructured narrative text."
spiroat_bl,mraoptimaal,21601533,21601533,atc:c03da,aldosterone antagonists,atc:c03da,aldosterone antagonists,drug_exposure,exact match,baseline time,baseline time,binary_class_variable,,int,multi_class_variable,,str,"For harmonization convert multi-class variables to binary classes, but accept only the degree of information loss justified by the research question. For drug-related variables, scrutinize the surrounding categorical context—e.g., therapy adjustments or supplemental medication descriptors—before deciding on the optimal harmonization, because these details may not map cleanly onto a binary split."
spiroat_bl,dosismra,21601533,21601533,atc:c03da,aldosterone antagonists,atc:c03da,aldosterone antagonists,drug_exposure,exact match,baseline time,baseline time,binary_class_variable,,int,continuous_variable,,float,"For drug-related variables in harmonization, first examine any accompanying categorical context—such as therapy adjustments or descriptive qualifiers—because these details may not align neatly with the drug-dosage columns and harmonization may not be possible."
spiroat_bl,mra_contra,21601533,21601533,atc:c03da,aldosterone antagonists,atc:c03da,aldosterone antagonists,drug_exposure,exact match,baseline time,baseline time,binary_class_variable,,int,binary_class_variable,,int,"For harmonization, no transformation required if categorical values are the same, otherwise transformation is needed on categorical values"
spiroat_bl,mra,21601533,21601533,atc:c03da,aldosterone antagonists,atc:c03da,aldosterone antagonists,drug_exposure,exact match,baseline time,baseline time,binary_class_variable,,int,multi_class_variable,,str,"For harmonization convert multi-class variables to binary classes, but accept only the degree of information loss justified by the research question. For drug-related variables, scrutinize the surrounding categorical context—e.g., therapy adjustments or supplemental medication descriptors—before deciding on the optimal harmonization, because these details may not map cleanly onto a binary split."
spiroat_bl,mra01,21601533,21601533,atc:c03da,aldosterone antagonists,atc:c03da,aldosterone antagonists,drug_exposure,exact match,baseline time,baseline time,binary_class_variable,,int,binary_class_variable,,int,"For harmonization, no transformation required if categorical values are the same, otherwise transformation is needed on categorical values"
spiroat_bl,mradose,21601533,21601533,atc:c03da,aldosterone antagonists,atc:c03da,aldosterone antagonists,drug_exposure,exact match,baseline time,baseline time,binary_class_variable,,int,continuous_variable,percent,float,"For drug-related variables in harmonization, first examine any accompanying categorical context—such as therapy adjustments or descriptive qualifiers—because these details may not align neatly with the drug-dosage columns and harmonization may not be possible."
spiroat_bl,mrayn,21601533,21601533,atc:c03da,aldosterone antagonists,atc:c03da,aldosterone antagonists,drug_exposure,exact match,baseline time,baseline time,binary_class_variable,,int,binary_class_variable,,str,"For harmonization, no transformation required if categorical values are the same, otherwise transformation is needed on categorical values"
spiroat_bl,dagdosismra,21601533,21601533,atc:c03da,aldosterone antagonists,atc:c03da,aldosterone antagonists,drug_exposure,exact match,baseline time,baseline time,binary_class_variable,,int,continuous_variable,,float,"For drug-related variables in harmonization, first examine any accompanying categorical context—such as therapy adjustments or descriptive qualifiers—because these details may not align neatly with the drug-dosage columns and harmonization may not be possible."
spiroat_bl,dosisfrequentiemra,21601533,21601533,atc:c03da,aldosterone antagonists,atc:c03da,aldosterone antagonists,drug_exposure,exact match,baseline time,baseline time,binary_class_variable,,int,continuous_variable,,int,"For drug-related variables in harmonization, first examine any accompanying categorical context—such as therapy adjustments or descriptive qualifiers—because these details may not align neatly with the drug-dosage columns and harmonization may not be possible."
dosebbbl,dagdosisbblocker,21601665,21601665,atc:c07a,beta blocking agents,atc:c07a,beta blocking agents,drug_exposure,exact match,baseline time,baseline time,continuous_variable,percent,float,continuous_variable,,float,"For harmonization, no transformation required."
dosebbbl,bboptimaal,21601665,21601665,atc:c07a,beta blocking agents,atc:c07a,beta blocking agents,drug_exposure,exact match,baseline time,baseline time,continuous_variable,percent,float,multi_class_variable,,str,"For drug-related variables in harmonization, first examine any accompanying categorical context—such as therapy adjustments or descriptive qualifiers—because these details may not align neatly with the drug-dosage columns and harmonization may not be possible."
dosebbbl,betablocker,21601665,21601665,atc:c07a,beta blocking agents,atc:c07a,beta blocking agents,drug_exposure,exact match,baseline time,baseline time,continuous_variable,percent,float,qualitative_variable,,str,Transformation rule not defined
dosebbbl,bb_contra,21601665,21601665,atc:c07a,beta blocking agents,atc:c07a,beta blocking agents,drug_exposure,exact match,baseline time,baseline time,continuous_variable,percent,float,binary_class_variable,,int,"For drug-related variables in harmonization, first examine any accompanying categorical context—such as therapy adjustments or descriptive qualifiers—because these details may not align neatly with the drug-dosage columns and harmonization may not be possible."
dosebbbl,doseringbblocker,21601665,21601665,atc:c07a,beta blocking agents,atc:c07a,beta blocking agents,drug_exposure,exact match,baseline time,baseline time,continuous_variable,percent,float,qualitative_variable,milligram,str,Transformation rule not defined
