source,target,somop_id,tomop_id,scode,slabel,tcode,tlabel,category,source_visit,target_visit,transformation_rule,source_type,source_unit,source_data_type,source_categories_labels,source_original_categories,target_type,target_unit,target_data_type,target_categories_labels,target_original_categories,mapping type,harmonization_status
causeofheartfailure,docucoro,316139,316139,snomed:84114007,heart failure,snomed:84114007,heart failure,observation,baseline time,baseline time,"{""description"": ""No specific transformation rule available.""}",multi_class_variable,,int,dilated cardiomyopathy; disorder of coronary artery; other; heart valve disorder; hypertensive heart disease,2; 1; 5; 3; 4,binary_class_variable,,int,yes; no,3; 2,code match,Not Applicable
hypertension,preiper,316866,316866,snomed:38341003,hypertensive disorder,snomed:38341003,hypertensive disorder,condition_occurrence,baseline time,baseline time,"{""description"": ""Categorical values are identical and aligned by standard labels."", ""categorical_mapping"": ""no: 0<->2; yes: 1<->3"", ""standard_labels"": ""no; yes""}",binary_class_variable,,int,no; yes,0; 1,binary_class_variable,,int,no; yes,2; 3,code match,Complete Match (Identical)
angina01,preang,321318,321318,snomed:194828000,angina pectoris,snomed:194828000,angina pectoris,condition_occurrence,baseline time,baseline time,"{""description"": ""Categorical values are identical and aligned by standard labels."", ""categorical_mapping"": ""no: 0<->2; yes: 1<->3"", ""standard_labels"": ""no; yes""}",binary_class_variable,,int,yes; no,1; 0,binary_class_variable,,int,yes; no,3; 2,code match,Complete Match (Identical)
mi,insmitra,443962,443962,snomed:48724000,mitral valve regurgitation,snomed:48724000,mitral valve regurgitation,measurement,baseline time,baseline time,"{""description"": ""No specific transformation rule available.""}",multi_class_variable,,int,mild; no; severe; symptom trivial; moderate,2; 0; 4; 1; 3,binary_class_variable,,int,no; yes,2; 3,code match,Not Applicable
stopyears,prefumo,761009,761009,snomed:1311000175101,smoking assessment,snomed:1311000175101,smoking assessment,condition_occurrence,baseline time,baseline time,"{""description"": ""Discretize continuous variable to categories only if information loss is minimal (e.g., event flag or type).""}",continuous_variable,ucum:a,int,,,multi_class_variable,,int,former smoker; never smoker; current smoker,4; 2; 3,code match,Partial Match (Tentative)
smoking,prefumo,761009,761009,snomed:1311000175101,smoking assessment,snomed:1311000175101,smoking assessment,condition_occurrence,baseline time,baseline time,"{""description"": ""Categorical values are identical and aligned by standard labels."", ""categorical_mapping"": ""current smoker: 2<->3; former smoker: 1<->4; never smoker: 0<->2"", ""standard_labels"": ""current smoker; former smoker; never smoker""}",multi_class_variable,,int,former smoker; never smoker; current smoker,1; 0; 2,multi_class_variable,,int,former smoker; never smoker; current smoker,4; 2; 3,code match,Complete Match (Identical)
v18furo,f7_furosemi,956874,956874,rxnorm:4603,furosemide,rxnorm:4603,furosemide,drug_exposure,follow-up 18 months,follow-up 18 months,"{""description"": ""Categorical values are identical and aligned by standard labels."", ""categorical_mapping"": ""no: 0<->2; yes: 1<->3"", ""standard_labels"": ""no; yes""}",binary_class_variable,,int,yes; no,1; 0,binary_class_variable,,int,yes; no,3; 2,code match,Complete Match (Identical)
v18furo,f7_dfurosem,956874,956874,rxnorm:4603,furosemide,rxnorm:4603,furosemide,drug_exposure,follow-up 18 months,follow-up 18 months,"{""description"": ""Avoid continuous\u2192categorical harmonization for drug-related variables unless strongly justified.""}",binary_class_variable,,int,yes; no,1; 0,continuous_variable,ucum:mg,float,,,code match,Not Applicable
dosefurov6,f5_furosemi,956874,956874,rxnorm:4603,furosemide,rxnorm:4603,furosemide,drug_exposure,follow-up 6 months,follow-up 6 months,"{""description"": ""Avoid continuous\u2192categorical harmonization for drug-related variables unless strongly justified.""}",continuous_variable,ucum:mg,int,,,binary_class_variable,,int,no; yes,2; 3,code match,Not Applicable
dosefurov6,f5_dfurosem,956874,956874,rxnorm:4603,furosemide,rxnorm:4603,furosemide,drug_exposure,follow-up 6 months,follow-up 6 months,"{""description"": ""No transformation required. Continuous types and units match.""}",continuous_variable,ucum:mg,int,,,continuous_variable,ucum:mg,float,,,code match,Complete Match (Identical)
dosefurov3,f4_dfurosem,956874,956874,rxnorm:4603,furosemide,rxnorm:4603,furosemide,drug_exposure,follow-up 3 months,follow-up 3 months,"{""description"": ""No transformation required. Continuous types and units match.""}",continuous_variable,ucum:mg,int,,,continuous_variable,ucum:mg,float,,,code match,Complete Match (Identical)
dosefurov3,f4_furosemi,956874,956874,rxnorm:4603,furosemide,rxnorm:4603,furosemide,drug_exposure,follow-up 3 months,follow-up 3 months,"{""description"": ""Avoid continuous\u2192categorical harmonization for drug-related variables unless strongly justified.""}",continuous_variable,ucum:mg,int,,,binary_class_variable,,int,no; yes,2; 3,code match,Not Applicable
blfuro,dfurosem,956874,956874,rxnorm:4603,furosemide,rxnorm:4603,furosemide,drug_exposure,baseline time,baseline time,"{""description"": ""Avoid continuous\u2192categorical harmonization for drug-related variables unless strongly justified.""}",binary_class_variable,,int,no; yes,0; 1,continuous_variable,ucum:mg,float,,,code match,Not Applicable
blfuro,furosemi,956874,956874,rxnorm:4603,furosemide,rxnorm:4603,furosemide,drug_exposure,baseline time,baseline time,"{""description"": ""Categorical values are identical and aligned by standard labels."", ""categorical_mapping"": ""no: 0<->2; yes: 1<->3"", ""standard_labels"": ""no; yes""}",binary_class_variable,,int,no; yes,0; 1,binary_class_variable,,int,yes; no,3; 2,code match,Complete Match (Identical)
v3furo,f4_dfurosem,956874,956874,rxnorm:4603,furosemide,rxnorm:4603,furosemide,drug_exposure,follow-up 3 months,follow-up 3 months,"{""description"": ""Avoid continuous\u2192categorical harmonization for drug-related variables unless strongly justified.""}",binary_class_variable,,int,yes; no,1; 0,continuous_variable,ucum:mg,float,,,code match,Not Applicable
v3furo,f4_furosemi,956874,956874,rxnorm:4603,furosemide,rxnorm:4603,furosemide,drug_exposure,follow-up 3 months,follow-up 3 months,"{""description"": ""Categorical values are identical and aligned by standard labels."", ""categorical_mapping"": ""no: 0<->2; yes: 1<->3"", ""standard_labels"": ""no; yes""}",binary_class_variable,,int,yes; no,1; 0,binary_class_variable,,int,no; yes,2; 3,code match,Complete Match (Identical)
dosefurov12,f6_dfurosem,956874,956874,rxnorm:4603,furosemide,rxnorm:4603,furosemide,drug_exposure,follow-up 1 year,follow-up 1 year,"{""description"": ""No transformation required. Continuous types and units match.""}",continuous_variable,ucum:mg,int,,,continuous_variable,ucum:mg,float,,,code match,Complete Match (Identical)
dosefurov12,f6_furosemi,956874,956874,rxnorm:4603,furosemide,rxnorm:4603,furosemide,drug_exposure,follow-up 1 year,follow-up 1 year,"{""description"": ""Avoid continuous\u2192categorical harmonization for drug-related variables unless strongly justified.""}",continuous_variable,ucum:mg,int,,,binary_class_variable,,int,no; yes,2; 3,code match,Not Applicable
dosefurobl,dfurosem,956874,956874,rxnorm:4603,furosemide,rxnorm:4603,furosemide,drug_exposure,baseline time,baseline time,"{""description"": ""No transformation required. Continuous types and units match.""}",continuous_variable,ucum:mg,int,,,continuous_variable,ucum:mg,float,,,code match,Complete Match (Identical)
dosefurobl,furosemi,956874,956874,rxnorm:4603,furosemide,rxnorm:4603,furosemide,drug_exposure,baseline time,baseline time,"{""description"": ""Avoid continuous\u2192categorical harmonization for drug-related variables unless strongly justified.""}",continuous_variable,ucum:mg,int,,,binary_class_variable,,int,yes; no,3; 2,code match,Not Applicable
dosefurov18,f7_furosemi,956874,956874,rxnorm:4603,furosemide,rxnorm:4603,furosemide,drug_exposure,follow-up 18 months,follow-up 18 months,"{""description"": ""Avoid continuous\u2192categorical harmonization for drug-related variables unless strongly justified.""}",continuous_variable,ucum:mg,int,,,binary_class_variable,,int,yes; no,3; 2,code match,Not Applicable
dosefurov18,f7_dfurosem,956874,956874,rxnorm:4603,furosemide,rxnorm:4603,furosemide,drug_exposure,follow-up 18 months,follow-up 18 months,"{""description"": ""No transformation required. Continuous types and units match.""}",continuous_variable,ucum:mg,int,,,continuous_variable,ucum:mg,float,,,code match,Complete Match (Identical)
v12furo,f6_dfurosem,956874,956874,rxnorm:4603,furosemide,rxnorm:4603,furosemide,drug_exposure,follow-up 1 year,follow-up 1 year,"{""description"": ""Avoid continuous\u2192categorical harmonization for drug-related variables unless strongly justified.""}",binary_class_variable,,int,no; yes,0; 1,continuous_variable,ucum:mg,float,,,code match,Not Applicable
v12furo,f6_furosemi,956874,956874,rxnorm:4603,furosemide,rxnorm:4603,furosemide,drug_exposure,follow-up 1 year,follow-up 1 year,"{""description"": ""Categorical values are identical and aligned by standard labels."", ""categorical_mapping"": ""no: 0<->2; yes: 1<->3"", ""standard_labels"": ""no; yes""}",binary_class_variable,,int,no; yes,0; 1,binary_class_variable,,int,no; yes,2; 3,code match,Complete Match (Identical)
v6furo,f5_furosemi,956874,956874,rxnorm:4603,furosemide,rxnorm:4603,furosemide,drug_exposure,follow-up 6 months,follow-up 6 months,"{""description"": ""Categorical values are identical and aligned by standard labels."", ""categorical_mapping"": ""no: 0<->2; yes: 1<->3"", ""standard_labels"": ""no; yes""}",binary_class_variable,,int,no; yes,0; 1,binary_class_variable,,int,no; yes,2; 3,code match,Complete Match (Identical)
v6furo,f5_dfurosem,956874,956874,rxnorm:4603,furosemide,rxnorm:4603,furosemide,drug_exposure,follow-up 6 months,follow-up 6 months,"{""description"": ""Avoid continuous\u2192categorical harmonization for drug-related variables unless strongly justified.""}",binary_class_variable,,int,no; yes,0; 1,continuous_variable,ucum:mg,float,,,code match,Not Applicable
v1furo,f3_furosemi,956874,956874,rxnorm:4603,furosemide,rxnorm:4603,furosemide,drug_exposure,follow-up 1 month,follow-up 1 month,"{""description"": ""Categorical values are identical and aligned by standard labels."", ""categorical_mapping"": ""no: 0<->2; yes: 1<->3"", ""standard_labels"": ""no; yes""}",binary_class_variable,,int,no; yes,0; 1,binary_class_variable,,int,yes; no,3; 2,code match,Complete Match (Identical)
v1furo,f3_dfurosem,956874,956874,rxnorm:4603,furosemide,rxnorm:4603,furosemide,drug_exposure,follow-up 1 month,follow-up 1 month,"{""description"": ""Avoid continuous\u2192categorical harmonization for drug-related variables unless strongly justified.""}",binary_class_variable,,int,no; yes,0; 1,continuous_variable,ucum:mg,float,,,code match,Not Applicable
dosefurov1,f3_furosemi,956874,956874,rxnorm:4603,furosemide,rxnorm:4603,furosemide,drug_exposure,follow-up 1 month,follow-up 1 month,"{""description"": ""Avoid continuous\u2192categorical harmonization for drug-related variables unless strongly justified.""}",continuous_variable,ucum:mg,int,,,binary_class_variable,,int,yes; no,3; 2,code match,Not Applicable
dosefurov1,f3_dfurosem,956874,956874,rxnorm:4603,furosemide,rxnorm:4603,furosemide,drug_exposure,follow-up 1 month,follow-up 1 month,"{""description"": ""No transformation required. Continuous types and units match.""}",continuous_variable,ucum:mg,int,,,continuous_variable,ucum:mg,float,,,code match,Complete Match (Identical)
dosespirov18,f7_dspirono,970250,970250,rxnorm:9997,spironolactone,rxnorm:9997,spironolactone,drug_exposure,follow-up 18 months,follow-up 18 months,"{""description"": ""No transformation required. Continuous types and units match.""}",continuous_variable,ucum:mg,int,,,continuous_variable,ucum:mg,float,,,code match,Complete Match (Identical)
dosespirov18,f7_spirono,970250,970250,rxnorm:9997,spironolactone,rxnorm:9997,spironolactone,drug_exposure,follow-up 18 months,follow-up 18 months,"{""description"": ""Avoid continuous\u2192categorical harmonization for drug-related variables unless strongly justified.""}",continuous_variable,ucum:mg,int,,,binary_class_variable,,int,yes; no,3; 2,code match,Not Applicable
spiroadjbl,dspirono,970250,970250,rxnorm:9997,spironolactone,rxnorm:9997,spironolactone,drug_exposure,baseline time,baseline time,"{""description"": ""Avoid continuous\u2192categorical harmonization for drug-related variables unless strongly justified.""}",multi_class_variable,,int,once; no; medication stopped - side effect; more than once; reduced; stop; other,1; 0; 5; 2; 3; 4; 6,continuous_variable,ucum:mg,float,,,code match,Not Applicable
spiroadjbl,spirono,970250,970250,rxnorm:9997,spironolactone,rxnorm:9997,spironolactone,drug_exposure,baseline time,baseline time,"{""description"": ""No specific transformation rule available.""}",multi_class_variable,,int,once; no; medication stopped - side effect; more than once; reduced; stop; other,1; 0; 5; 2; 3; 4; 6,binary_class_variable,,int,yes; no,3; 2,code match,Not Applicable
dosespirov12,f6_spirono,970250,970250,rxnorm:9997,spironolactone,rxnorm:9997,spironolactone,drug_exposure,follow-up 1 year,follow-up 1 year,"{""description"": ""Avoid continuous\u2192categorical harmonization for drug-related variables unless strongly justified.""}",continuous_variable,ucum:mg,int,,,binary_class_variable,,int,yes; no,3; 2,code match,Not Applicable
dosespirov12,f6_dspirono,970250,970250,rxnorm:9997,spironolactone,rxnorm:9997,spironolactone,drug_exposure,follow-up 1 year,follow-up 1 year,"{""description"": ""No transformation required. Continuous types and units match.""}",continuous_variable,ucum:mg,int,,,continuous_variable,ucum:mg,float,,,code match,Complete Match (Identical)
spiroadj6,f5_spirono,970250,970250,rxnorm:9997,spironolactone,rxnorm:9997,spironolactone,drug_exposure,follow-up 6 months,follow-up 6 months,"{""description"": ""No specific transformation rule available.""}",multi_class_variable,,int,other; no; medication stopped - side effect; more than once; once; reduced; stop,6; 0; 5; 2; 1; 3; 4,binary_class_variable,,int,yes; no,3; 2,code match,Not Applicable
spiroadj6,f5_dspirono,970250,970250,rxnorm:9997,spironolactone,rxnorm:9997,spironolactone,drug_exposure,follow-up 6 months,follow-up 6 months,"{""description"": ""Avoid continuous\u2192categorical harmonization for drug-related variables unless strongly justified.""}",multi_class_variable,,int,other; no; medication stopped - side effect; more than once; once; reduced; stop,6; 0; 5; 2; 1; 3; 4,continuous_variable,ucum:mg,float,,,code match,Not Applicable
dosespirobl,dspirono,970250,970250,rxnorm:9997,spironolactone,rxnorm:9997,spironolactone,drug_exposure,baseline time,baseline time,"{""description"": ""No transformation required. Continuous types and units match.""}",continuous_variable,ucum:mg,int,,,continuous_variable,ucum:mg,float,,,code match,Complete Match (Identical)
dosespirobl,spirono,970250,970250,rxnorm:9997,spironolactone,rxnorm:9997,spironolactone,drug_exposure,baseline time,baseline time,"{""description"": ""Avoid continuous\u2192categorical harmonization for drug-related variables unless strongly justified.""}",continuous_variable,ucum:mg,int,,,binary_class_variable,,int,yes; no,3; 2,code match,Not Applicable
spiroadj3,f4_spirono,970250,970250,rxnorm:9997,spironolactone,rxnorm:9997,spironolactone,drug_exposure,follow-up 3 months,follow-up 3 months,"{""description"": ""No specific transformation rule available.""}",multi_class_variable,,int,stop; once; no; more than once; medication stopped - side effect; reduced; other,4; 1; 0; 2; 5; 3; 6,binary_class_variable,,int,yes; no,3; 2,code match,Not Applicable
spiroadj3,f4_dspirono,970250,970250,rxnorm:9997,spironolactone,rxnorm:9997,spironolactone,drug_exposure,follow-up 3 months,follow-up 3 months,"{""description"": ""Avoid continuous\u2192categorical harmonization for drug-related variables unless strongly justified.""}",multi_class_variable,,int,stop; once; no; more than once; medication stopped - side effect; reduced; other,4; 1; 0; 2; 5; 3; 6,continuous_variable,ucum:mg,float,,,code match,Not Applicable
dosespirov1,f3_spirono,970250,970250,rxnorm:9997,spironolactone,rxnorm:9997,spironolactone,drug_exposure,follow-up 1 month,follow-up 1 month,"{""description"": ""Avoid continuous\u2192categorical harmonization for drug-related variables unless strongly justified.""}",continuous_variable,ucum:mg,int,,,binary_class_variable,,int,yes; no,3; 2,code match,Not Applicable
dosespirov1,f3_dspirono,970250,970250,rxnorm:9997,spironolactone,rxnorm:9997,spironolactone,drug_exposure,follow-up 1 month,follow-up 1 month,"{""description"": ""No transformation required. Continuous types and units match.""}",continuous_variable,ucum:mg,int,,,continuous_variable,ucum:mg,float,,,code match,Complete Match (Identical)
spiroadj12,f6_spirono,970250,970250,rxnorm:9997,spironolactone,rxnorm:9997,spironolactone,drug_exposure,follow-up 1 year,follow-up 1 year,"{""description"": ""No specific transformation rule available.""}",multi_class_variable,,int,once; stop; more than once; reduced; other; medication stopped - side effect; no,1; 4; 2; 3; 6; 5; 0,binary_class_variable,,int,yes; no,3; 2,code match,Not Applicable
spiroadj12,f6_dspirono,970250,970250,rxnorm:9997,spironolactone,rxnorm:9997,spironolactone,drug_exposure,follow-up 1 year,follow-up 1 year,"{""description"": ""Avoid continuous\u2192categorical harmonization for drug-related variables unless strongly justified.""}",multi_class_variable,,int,once; stop; more than once; reduced; other; medication stopped - side effect; no,1; 4; 2; 3; 6; 5; 0,continuous_variable,ucum:mg,float,,,code match,Not Applicable
spiroadj1,f3_spirono,970250,970250,rxnorm:9997,spironolactone,rxnorm:9997,spironolactone,drug_exposure,follow-up 1 month,follow-up 1 month,"{""description"": ""No specific transformation rule available.""}",multi_class_variable,,int,no; reduced; once; other; medication stopped - side effect; more than once; stop,0; 3; 1; 6; 5; 2; 4,binary_class_variable,,int,yes; no,3; 2,code match,Not Applicable
spiroadj1,f3_dspirono,970250,970250,rxnorm:9997,spironolactone,rxnorm:9997,spironolactone,drug_exposure,follow-up 1 month,follow-up 1 month,"{""description"": ""Avoid continuous\u2192categorical harmonization for drug-related variables unless strongly justified.""}",multi_class_variable,,int,no; reduced; once; other; medication stopped - side effect; more than once; stop,0; 3; 1; 6; 5; 2; 4,continuous_variable,ucum:mg,float,,,code match,Not Applicable
dosespirov6,f5_spirono,970250,970250,rxnorm:9997,spironolactone,rxnorm:9997,spironolactone,drug_exposure,follow-up 6 months,follow-up 6 months,"{""description"": ""Avoid continuous\u2192categorical harmonization for drug-related variables unless strongly justified.""}",continuous_variable,ucum:mg,int,,,binary_class_variable,,int,yes; no,3; 2,code match,Not Applicable
dosespirov6,f5_dspirono,970250,970250,rxnorm:9997,spironolactone,rxnorm:9997,spironolactone,drug_exposure,follow-up 6 months,follow-up 6 months,"{""description"": ""No transformation required. Continuous types and units match.""}",continuous_variable,ucum:mg,int,,,continuous_variable,ucum:mg,float,,,code match,Complete Match (Identical)
dosespirov3,f4_spirono,970250,970250,rxnorm:9997,spironolactone,rxnorm:9997,spironolactone,drug_exposure,follow-up 3 months,follow-up 3 months,"{""description"": ""Avoid continuous\u2192categorical harmonization for drug-related variables unless strongly justified.""}",continuous_variable,ucum:mg,int,,,binary_class_variable,,int,yes; no,3; 2,code match,Not Applicable
dosespirov3,f4_dspirono,970250,970250,rxnorm:9997,spironolactone,rxnorm:9997,spironolactone,drug_exposure,follow-up 3 months,follow-up 3 months,"{""description"": ""No transformation required. Continuous types and units match.""}",continuous_variable,ucum:mg,int,,,continuous_variable,ucum:mg,float,,,code match,Complete Match (Identical)
aspirin_v1,f3_asa,1112807,1112807,rxnorm:1191,aspirin,rxnorm:1191,aspirin,drug_exposure,follow-up 1 month,follow-up 1 month,"{""description"": ""Categorical values are identical and aligned by standard labels."", ""categorical_mapping"": ""no: 0<->2; yes: 1<->3"", ""standard_labels"": ""no; yes""}",binary_class_variable,,int,no; yes,0; 1,binary_class_variable,,int,no; yes,2; 3,code match,Complete Match (Identical)
aspirin_v6,f5_asa,1112807,1112807,rxnorm:1191,aspirin,rxnorm:1191,aspirin,drug_exposure,follow-up 6 months,follow-up 6 months,"{""description"": ""Categorical values are identical and aligned by standard labels."", ""categorical_mapping"": ""no: 0<->2; yes: 1<->3"", ""standard_labels"": ""no; yes""}",binary_class_variable,,int,yes; no,1; 0,binary_class_variable,,int,yes; no,3; 2,code match,Complete Match (Identical)
aspirin_v18,f7_asa,1112807,1112807,rxnorm:1191,aspirin,rxnorm:1191,aspirin,drug_exposure,follow-up 18 months,follow-up 18 months,"{""description"": ""Categorical values are identical and aligned by standard labels."", ""categorical_mapping"": ""no: 0<->2; yes: 1<->3"", ""standard_labels"": ""no; yes""}",binary_class_variable,,int,no; yes,0; 1,binary_class_variable,,int,yes; no,3; 2,code match,Complete Match (Identical)
aspirin_bl,asa,1112807,1112807,rxnorm:1191,aspirin,rxnorm:1191,aspirin,drug_exposure,baseline time,baseline time,"{""description"": ""Categorical values are identical and aligned by standard labels."", ""categorical_mapping"": ""no: 0<->2; yes: 1<->3"", ""standard_labels"": ""no; yes""}",binary_class_variable,,int,yes; no,1; 0,binary_class_variable,,int,no; yes,2; 3,code match,Complete Match (Identical)
aspirin_v12,f6_asa,1112807,1112807,rxnorm:1191,aspirin,rxnorm:1191,aspirin,drug_exposure,follow-up 1 year,follow-up 1 year,"{""description"": ""Categorical values are identical and aligned by standard labels."", ""categorical_mapping"": ""no: 0<->2; yes: 1<->3"", ""standard_labels"": ""no; yes""}",binary_class_variable,,int,no; yes,0; 1,binary_class_variable,,int,yes; no,3; 2,code match,Complete Match (Identical)
aspirin_v3,f4_asa,1112807,1112807,rxnorm:1191,aspirin,rxnorm:1191,aspirin,drug_exposure,follow-up 3 months,follow-up 3 months,"{""description"": ""Categorical values are identical and aligned by standard labels."", ""categorical_mapping"": ""no: 0<->2; yes: 1<->3"", ""standard_labels"": ""no; yes""}",binary_class_variable,,int,yes; no,1; 0,binary_class_variable,,int,no; yes,2; 3,code match,Complete Match (Identical)
hb12,f6_emoglob,3000963,3000963,loinc:718-7,hemoglobin [mass/volume] in blood,loinc:718-7,hemoglobin [mass/volume] in blood,measurement,follow-up 1 year,follow-up 1 year,"{""description"": ""No transformation required. Continuous types and units match.""}",continuous_variable,ucum:g/dl,float,,,continuous_variable,ucum:g/dl,float,,,code match,Complete Match (Identical)
hb,emoglob,3000963,3000963,loinc:718-7,hemoglobin [mass/volume] in blood,loinc:718-7,hemoglobin [mass/volume] in blood,measurement,baseline time,baseline time,"{""description"": ""No transformation required. Continuous types and units match.""}",continuous_variable,ucum:g/dl,float,,,continuous_variable,ucum:g/dl,float,,,code match,Complete Match (Identical)
