source,target,somop_id,tomop_id,scode,slabel,tcode,tlabel,category,mapping type,source_visit,target_visit,source_type,source_unit,source_data_type,source_categories,target_type,target_unit,target_data_type,target_categories,transformation_rule
bundeltakblok,ee_rsb,313791.0,313791.0,snomed:6374002,bundle branch block,snomed:6374002,bundle branch block,measurement,exact match,baseline time,baseline time,multi_class_variable,,int,intraventricular conduction defect; right bundle branch block; left anterior fascicular block; left bundle branch block; right bundle branch block and left posterior fascicular block; right bundle branch block and left anterior fascicular block; left posterior fascicular block,binary_class_variable,,int,no; yes,"{""rule"": ""Convert multi-class to binary class. Information loss must be justified."", ""source_categories"": ""intraventricular conduction defect; right bundle branch block; left anterior fascicular block; left bundle branch block; right bundle branch block and left posterior fascicular block; right bundle branch block and left anterior fascicular block; left posterior fascicular block"", ""target_categories"": ""no; yes""}"
bundeltakblok,fe_lsf,313791.0,313791.0,snomed:6374002,bundle branch block,snomed:6374002,bundle branch block,measurement,exact match,baseline time,baseline time,multi_class_variable,,int,intraventricular conduction defect; right bundle branch block; left anterior fascicular block; left bundle branch block; right bundle branch block and left posterior fascicular block; right bundle branch block and left anterior fascicular block; left posterior fascicular block,binary_class_variable,,int,no; yes,"{""rule"": ""Convert multi-class to binary class. Information loss must be justified."", ""source_categories"": ""intraventricular conduction defect; right bundle branch block; left anterior fascicular block; left bundle branch block; right bundle branch block and left posterior fascicular block; right bundle branch block and left anterior fascicular block; left posterior fascicular block"", ""target_categories"": ""no; yes""}"
bundeltakblok,de_rsb,313791.0,313791.0,snomed:6374002,bundle branch block,snomed:6374002,bundle branch block,measurement,exact match,baseline time,baseline time,multi_class_variable,,int,intraventricular conduction defect; right bundle branch block; left anterior fascicular block; left bundle branch block; right bundle branch block and left posterior fascicular block; right bundle branch block and left anterior fascicular block; left posterior fascicular block,binary_class_variable,,int,yes; no,"{""rule"": ""Convert multi-class to binary class. Information loss must be justified."", ""source_categories"": ""intraventricular conduction defect; right bundle branch block; left anterior fascicular block; left bundle branch block; right bundle branch block and left posterior fascicular block; right bundle branch block and left anterior fascicular block; left posterior fascicular block"", ""target_categories"": ""yes; no""}"
bundeltakblok,he_lsh,313791.0,313791.0,snomed:6374002,bundle branch block,snomed:6374002,bundle branch block,measurement,exact match,baseline time,baseline time,multi_class_variable,,int,intraventricular conduction defect; right bundle branch block; left anterior fascicular block; left bundle branch block; right bundle branch block and left posterior fascicular block; right bundle branch block and left anterior fascicular block; left posterior fascicular block,binary_class_variable,,int,yes; no,"{""rule"": ""Convert multi-class to binary class. Information loss must be justified."", ""source_categories"": ""intraventricular conduction defect; right bundle branch block; left anterior fascicular block; left bundle branch block; right bundle branch block and left posterior fascicular block; right bundle branch block and left anterior fascicular block; left posterior fascicular block"", ""target_categories"": ""yes; no""}"
bundeltakblok,ie_rsb,313791.0,313791.0,snomed:6374002,bundle branch block,snomed:6374002,bundle branch block,measurement,exact match,baseline time,baseline time,multi_class_variable,,int,intraventricular conduction defect; right bundle branch block; left anterior fascicular block; left bundle branch block; right bundle branch block and left posterior fascicular block; right bundle branch block and left anterior fascicular block; left posterior fascicular block,binary_class_variable,,int,yes; no,"{""rule"": ""Convert multi-class to binary class. Information loss must be justified."", ""source_categories"": ""intraventricular conduction defect; right bundle branch block; left anterior fascicular block; left bundle branch block; right bundle branch block and left posterior fascicular block; right bundle branch block and left anterior fascicular block; left posterior fascicular block"", ""target_categories"": ""yes; no""}"
bundeltakblok,ge_lsb,313791.0,313791.0,snomed:6374002,bundle branch block,snomed:6374002,bundle branch block,measurement,exact match,baseline time,baseline time,multi_class_variable,,int,intraventricular conduction defect; right bundle branch block; left anterior fascicular block; left bundle branch block; right bundle branch block and left posterior fascicular block; right bundle branch block and left anterior fascicular block; left posterior fascicular block,binary_class_variable,,int,no; yes,"{""rule"": ""Convert multi-class to binary class. Information loss must be justified."", ""source_categories"": ""intraventricular conduction defect; right bundle branch block; left anterior fascicular block; left bundle branch block; right bundle branch block and left posterior fascicular block; right bundle branch block and left anterior fascicular block; left posterior fascicular block"", ""target_categories"": ""no; yes""}"
avblock,ee_avb,316135.0,316135.0,snomed:233917008,atrioventricular block,snomed:233917008,atrioventricular block,measurement,exact match,baseline time,baseline time,binary_class_variable,,int,no; yes,binary_class_variable,,int,yes; no,"{""rule"": ""No transformation required. Source and target categorical values match."", ""source_categories"": ""no; yes"", ""target_categories"": ""yes; no""}"
avblock,ie_avb,316135.0,316135.0,snomed:233917008,atrioventricular block,snomed:233917008,atrioventricular block,measurement,exact match,baseline time,baseline time,binary_class_variable,,int,no; yes,binary_class_variable,,int,yes; no,"{""rule"": ""No transformation required. Source and target categorical values match."", ""source_categories"": ""no; yes"", ""target_categories"": ""yes; no""}"
avblock,fe_avf,316135.0,316135.0,snomed:233917008,atrioventricular block,snomed:233917008,atrioventricular block,measurement,exact match,baseline time,baseline time,binary_class_variable,,int,no; yes,binary_class_variable,,int,no; yes,"{""rule"": ""No transformation required. Source and target categorical values match."", ""source_categories"": ""no; yes"", ""target_categories"": ""no; yes""}"
avblock,de_avb,316135.0,316135.0,snomed:233917008,atrioventricular block,snomed:233917008,atrioventricular block,measurement,exact match,baseline time,baseline time,binary_class_variable,,int,no; yes,binary_class_variable,,int,no; yes,"{""rule"": ""No transformation required. Source and target categorical values match."", ""source_categories"": ""no; yes"", ""target_categories"": ""no; yes""}"
avblock,be_avb,316135.0,316135.0,snomed:233917008,atrioventricular block,snomed:233917008,atrioventricular block,measurement,exact match,baseline time,baseline time,binary_class_variable,,int,no; yes,binary_class_variable,,int,no; yes,"{""rule"": ""No transformation required. Source and target categorical values match."", ""source_categories"": ""no; yes"", ""target_categories"": ""no; yes""}"
avblock,he_avh,316135.0,316135.0,snomed:233917008,atrioventricular block,snomed:233917008,atrioventricular block,measurement,exact match,baseline time,baseline time,binary_class_variable,,int,no; yes,binary_class_variable,,int,yes; no,"{""rule"": ""No transformation required. Source and target categorical values match."", ""source_categories"": ""no; yes"", ""target_categories"": ""yes; no""}"
avblock,ge_avb,316135.0,316135.0,snomed:233917008,atrioventricular block,snomed:233917008,atrioventricular block,measurement,exact match,baseline time,baseline time,binary_class_variable,,int,no; yes,binary_class_variable,,int,yes; no,"{""rule"": ""No transformation required. Source and target categorical values match."", ""source_categories"": ""no; yes"", ""target_categories"": ""yes; no""}"
block,ee_avb,316135.0,316135.0,snomed:233917008,atrioventricular block,snomed:233917008,atrioventricular block,measurement,exact match,baseline time,baseline time,multi_class_variable,,int,,binary_class_variable,,int,yes; no,"{""rule"": ""Convert multi-class to binary class. Information loss must be justified."", ""source_categories"": """", ""target_categories"": ""yes; no""}"
block,ie_avb,316135.0,316135.0,snomed:233917008,atrioventricular block,snomed:233917008,atrioventricular block,measurement,exact match,baseline time,baseline time,multi_class_variable,,int,,binary_class_variable,,int,yes; no,"{""rule"": ""Convert multi-class to binary class. Information loss must be justified."", ""source_categories"": """", ""target_categories"": ""yes; no""}"
block,fe_avf,316135.0,316135.0,snomed:233917008,atrioventricular block,snomed:233917008,atrioventricular block,measurement,exact match,baseline time,baseline time,multi_class_variable,,int,,binary_class_variable,,int,no; yes,"{""rule"": ""Convert multi-class to binary class. Information loss must be justified."", ""source_categories"": """", ""target_categories"": ""no; yes""}"
block,de_avb,316135.0,316135.0,snomed:233917008,atrioventricular block,snomed:233917008,atrioventricular block,measurement,exact match,baseline time,baseline time,multi_class_variable,,int,,binary_class_variable,,int,no; yes,"{""rule"": ""Convert multi-class to binary class. Information loss must be justified."", ""source_categories"": """", ""target_categories"": ""no; yes""}"
block,be_avb,316135.0,316135.0,snomed:233917008,atrioventricular block,snomed:233917008,atrioventricular block,measurement,exact match,baseline time,baseline time,multi_class_variable,,int,,binary_class_variable,,int,no; yes,"{""rule"": ""Convert multi-class to binary class. Information loss must be justified."", ""source_categories"": """", ""target_categories"": ""no; yes""}"
block,he_avh,316135.0,316135.0,snomed:233917008,atrioventricular block,snomed:233917008,atrioventricular block,measurement,exact match,baseline time,baseline time,multi_class_variable,,int,,binary_class_variable,,int,yes; no,"{""rule"": ""Convert multi-class to binary class. Information loss must be justified."", ""source_categories"": """", ""target_categories"": ""yes; no""}"
block,ge_avb,316135.0,316135.0,snomed:233917008,atrioventricular block,snomed:233917008,atrioventricular block,measurement,exact match,baseline time,baseline time,multi_class_variable,,int,,binary_class_variable,,int,yes; no,"{""rule"": ""Convert multi-class to binary class. Information loss must be justified."", ""source_categories"": """", ""target_categories"": ""yes; no""}"
causeofheartfailure,bd_cause,316139.0,316139.0,snomed:84114007,heart failure,snomed:84114007,heart failure,observation,exact match,baseline time,baseline time,multi_class_variable,,int,dilated cardiomyopathy; coronary artery disease; other; heart valve disorder; hypertensive heart disease,multi_class_variable,,int,"cannot be determined; hypertension; other reason; coronary artery disease (cad) (e.g., angina, myocardial infarction, and atherosclerotic heart disease (ashd)); cardiomyopathy","{""rule"": ""Alignment of categorical values required. Source and target differ. Map categories semantically across datasets."", ""source_categories"": ""dilated cardiomyopathy; coronary artery disease; other; heart valve disorder; hypertensive heart disease"", ""target_categories"": ""cannot be determined; hypertension; other reason; coronary artery disease (cad) (e.g., angina, myocardial infarction, and atherosclerotic heart disease (ashd)); cardiomyopathy""}"
angina01,bd_ap,321318.0,321318.0,snomed:194828000,angina pectoris,snomed:194828000,angina pectoris,condition_occurrence,exact match,baseline time,baseline time,binary_class_variable,,int,yes; no,binary_class_variable,,int,no; yes,"{""rule"": ""No transformation required. Source and target categorical values match."", ""source_categories"": ""yes; no"", ""target_categories"": ""no; yes""}"
cvi01,bn_cerv,381591.0,381591.0,snomed:62914000,cerebrovascular disease,snomed:62914000,cerebrovascular disease,condition_occurrence,exact match,baseline time,baseline time,binary_class_variable,,int,yes; no,binary_class_variable,,int,no; yes,"{""rule"": ""No transformation required. Source and target categorical values match."", ""source_categories"": ""yes; no"", ""target_categories"": ""no; yes""}"
cvi01,hn_cerv,381591.0,381591.0,snomed:62914000,cerebrovascular disease,snomed:62914000,cerebrovascular disease,condition_occurrence,exact match,baseline time,baseline time,binary_class_variable,,int,yes; no,binary_class_variable,,int,no; yes,"{""rule"": ""No transformation required. Source and target categorical values match."", ""source_categories"": ""yes; no"", ""target_categories"": ""no; yes""}"
cvi01,fn_cerv,381591.0,381591.0,snomed:62914000,cerebrovascular disease,snomed:62914000,cerebrovascular disease,condition_occurrence,exact match,baseline time,baseline time,binary_class_variable,,int,yes; no,binary_class_variable,,int,no; yes,"{""rule"": ""No transformation required. Source and target categorical values match."", ""source_categories"": ""yes; no"", ""target_categories"": ""no; yes""}"
stroke01,bn_cerv,381591.0,381591.0,snomed:62914000,cerebrovascular disease,snomed:62914000,cerebrovascular disease,condition_occurrence,exact match,baseline time,baseline time,binary_class_variable,,int,yes; no,binary_class_variable,,int,no; yes,"{""rule"": ""No transformation required. Source and target categorical values match."", ""source_categories"": ""yes; no"", ""target_categories"": ""no; yes""}"
stroke01,hn_cerv,381591.0,381591.0,snomed:62914000,cerebrovascular disease,snomed:62914000,cerebrovascular disease,condition_occurrence,exact match,baseline time,baseline time,binary_class_variable,,int,yes; no,binary_class_variable,,int,no; yes,"{""rule"": ""No transformation required. Source and target categorical values match."", ""source_categories"": ""yes; no"", ""target_categories"": ""no; yes""}"
stroke01,fn_cerv,381591.0,381591.0,snomed:62914000,cerebrovascular disease,snomed:62914000,cerebrovascular disease,condition_occurrence,exact match,baseline time,baseline time,binary_class_variable,,int,yes; no,binary_class_variable,,int,no; yes,"{""rule"": ""No transformation required. Source and target categorical values match."", ""source_categories"": ""yes; no"", ""target_categories"": ""no; yes""}"
stroke,bn_cerv,381591.0,381591.0,snomed:62914000,cerebrovascular disease,snomed:62914000,cerebrovascular disease,condition_occurrence,exact match,baseline time,baseline time,multi_class_variable,,int,mild; moderate; no; severe,binary_class_variable,,int,no; yes,"{""rule"": ""Convert multi-class to binary class. Information loss must be justified."", ""source_categories"": ""mild; moderate; no; severe"", ""target_categories"": ""no; yes""}"
stroke,hn_cerv,381591.0,381591.0,snomed:62914000,cerebrovascular disease,snomed:62914000,cerebrovascular disease,condition_occurrence,exact match,baseline time,baseline time,multi_class_variable,,int,mild; moderate; no; severe,binary_class_variable,,int,no; yes,"{""rule"": ""Convert multi-class to binary class. Information loss must be justified."", ""source_categories"": ""mild; moderate; no; severe"", ""target_categories"": ""no; yes""}"
stroke,fn_cerv,381591.0,381591.0,snomed:62914000,cerebrovascular disease,snomed:62914000,cerebrovascular disease,condition_occurrence,exact match,baseline time,baseline time,multi_class_variable,,int,mild; moderate; no; severe,binary_class_variable,,int,no; yes,"{""rule"": ""Convert multi-class to binary class. Information loss must be justified."", ""source_categories"": ""mild; moderate; no; severe"", ""target_categories"": ""no; yes""}"
depression,bn_depr,440383.0,440383.0,snomed:35489007,depressive disorder,snomed:35489007,depressive disorder,condition_occurrence,exact match,baseline time,baseline time,binary_class_variable,,int,yes; no,binary_class_variable,,int,yes; no,"{""rule"": ""No transformation required. Source and target categorical values match."", ""source_categories"": ""yes; no"", ""target_categories"": ""yes; no""}"
depression,hn_depr,440383.0,440383.0,snomed:35489007,depressive disorder,snomed:35489007,depressive disorder,condition_occurrence,exact match,baseline time,baseline time,binary_class_variable,,int,yes; no,binary_class_variable,,int,no; yes,"{""rule"": ""No transformation required. Source and target categorical values match."", ""source_categories"": ""yes; no"", ""target_categories"": ""no; yes""}"
depression,fn_depr,440383.0,440383.0,snomed:35489007,depressive disorder,snomed:35489007,depressive disorder,condition_occurrence,exact match,baseline time,baseline time,binary_class_variable,,int,yes; no,binary_class_variable,,int,no; yes,"{""rule"": ""No transformation required. Source and target categorical values match."", ""source_categories"": ""yes; no"", ""target_categories"": ""no; yes""}"
aspirin_bl,hm_ass,1112807.0,1112807.0,rxnorm:1191,aspirin,rxnorm:1191,aspirin,drug_exposure,exact match,baseline time,baseline time,binary_class_variable,,int,yes; no,binary_class_variable,,int,yes; no,"{""rule"": ""No transformation required. Source and target categorical values match."", ""source_categories"": ""yes; no"", ""target_categories"": ""yes; no""}"
aspirin_bl,bm_ass,1112807.0,1112807.0,rxnorm:1191,aspirin,rxnorm:1191,aspirin,drug_exposure,exact match,baseline time,baseline time,binary_class_variable,,int,yes; no,binary_class_variable,,int,no; yes,"{""rule"": ""No transformation required. Source and target categorical values match."", ""source_categories"": ""yes; no"", ""target_categories"": ""no; yes""}"
aspirin_bl,fm_ass,1112807.0,1112807.0,rxnorm:1191,aspirin,rxnorm:1191,aspirin,drug_exposure,exact match,baseline time,baseline time,binary_class_variable,,int,yes; no,binary_class_variable,,int,yes; no,"{""rule"": ""No transformation required. Source and target categorical values match."", ""source_categories"": ""yes; no"", ""target_categories"": ""yes; no""}"
sodium,el_na,3000285.0,3000285.0,loinc:2947-0,sodium [moles/volume] in blood,loinc:2947-0,sodium [moles/volume] in blood,measurement,exact match,baseline time,baseline time,continuous_variable,millimole per liter,float,,continuous_variable,,float,,"{""rule"": ""No transformation required. Continuous types and units match."", ""source_categories"": """", ""target_categories"": """"}"
sodium,el_nau,3000285.0,3000285.0,loinc:2947-0,sodium [moles/volume] in blood,loinc:2947-0,sodium [moles/volume] in blood,measurement,exact match,baseline time,baseline time,continuous_variable,millimole per liter,float,,multi_class_variable,,int,millimole per liter; other,"{""rule"": ""Discretize continuous variable to categories. Acceptable only if information loss is minimal. Represent as: (1) binary flag for event presence, (2) category of event type."", ""source_categories"": """", ""target_categories"": ""millimole per liter; other""}"
sodium,gl_na,3000285.0,3000285.0,loinc:2947-0,sodium [moles/volume] in blood,loinc:2947-0,sodium [moles/volume] in blood,measurement,exact match,baseline time,baseline time,continuous_variable,millimole per liter,float,,continuous_variable,,float,,"{""rule"": ""No transformation required. Continuous types and units match."", ""source_categories"": """", ""target_categories"": """"}"
sodium,dl_na,3000285.0,3000285.0,loinc:2947-0,sodium [moles/volume] in blood,loinc:2947-0,sodium [moles/volume] in blood,measurement,exact match,baseline time,baseline time,continuous_variable,millimole per liter,float,,continuous_variable,,float,,"{""rule"": ""No transformation required. Continuous types and units match."", ""source_categories"": """", ""target_categories"": """"}"
sodium,hl_na,3000285.0,3000285.0,loinc:2947-0,sodium [moles/volume] in blood,loinc:2947-0,sodium [moles/volume] in blood,measurement,exact match,baseline time,baseline time,continuous_variable,millimole per liter,float,,continuous_variable,,float,,"{""rule"": ""No transformation required. Continuous types and units match."", ""source_categories"": """", ""target_categories"": """"}"
sodium,bl_na,3000285.0,3000285.0,loinc:2947-0,sodium [moles/volume] in blood,loinc:2947-0,sodium [moles/volume] in blood,measurement,exact match,baseline time,baseline time,continuous_variable,millimole per liter,float,,continuous_variable,,float,,"{""rule"": ""No transformation required. Continuous types and units match."", ""source_categories"": """", ""target_categories"": """"}"
sodium,il_na,3000285.0,3000285.0,loinc:2947-0,sodium [moles/volume] in blood,loinc:2947-0,sodium [moles/volume] in blood,measurement,exact match,baseline time,baseline time,continuous_variable,millimole per liter,float,,continuous_variable,,float,,"{""rule"": ""No transformation required. Continuous types and units match."", ""source_categories"": """", ""target_categories"": """"}"
sodium,fl_na,3000285.0,3000285.0,loinc:2947-0,sodium [moles/volume] in blood,loinc:2947-0,sodium [moles/volume] in blood,measurement,exact match,baseline time,baseline time,continuous_variable,millimole per liter,float,,continuous_variable,,float,,"{""rule"": ""No transformation required. Continuous types and units match."", ""source_categories"": """", ""target_categories"": """"}"
hb,gl_hb,3000963.0,3000963.0,loinc:718-7,hemoglobin [mass/volume] in blood,loinc:718-7,hemoglobin [mass/volume] in blood,measurement,exact match,baseline time,baseline time,continuous_variable,gram per deciliter,float,,continuous_variable,,float,,"{""rule"": ""No transformation required. Continuous types and units match."", ""source_categories"": """", ""target_categories"": """"}"
hb,hl_hb,3000963.0,3000963.0,loinc:718-7,hemoglobin [mass/volume] in blood,loinc:718-7,hemoglobin [mass/volume] in blood,measurement,exact match,baseline time,baseline time,continuous_variable,gram per deciliter,float,,continuous_variable,,float,,"{""rule"": ""No transformation required. Continuous types and units match."", ""source_categories"": """", ""target_categories"": """"}"
hb,fl_hb,3000963.0,3000963.0,loinc:718-7,hemoglobin [mass/volume] in blood,loinc:718-7,hemoglobin [mass/volume] in blood,measurement,exact match,baseline time,baseline time,continuous_variable,gram per deciliter,float,,continuous_variable,,float,,"{""rule"": ""No transformation required. Continuous types and units match."", ""source_categories"": """", ""target_categories"": """"}"
hb,il_hb,3000963.0,3000963.0,loinc:718-7,hemoglobin [mass/volume] in blood,loinc:718-7,hemoglobin [mass/volume] in blood,measurement,exact match,baseline time,baseline time,continuous_variable,gram per deciliter,float,,continuous_variable,,float,,"{""rule"": ""No transformation required. Continuous types and units match."", ""source_categories"": """", ""target_categories"": """"}"
hb,dl_hb,3000963.0,3000963.0,loinc:718-7,hemoglobin [mass/volume] in blood,loinc:718-7,hemoglobin [mass/volume] in blood,measurement,exact match,baseline time,baseline time,continuous_variable,gram per deciliter,float,,continuous_variable,,float,,"{""rule"": ""No transformation required. Continuous types and units match."", ""source_categories"": """", ""target_categories"": """"}"
hb,el_hb,3000963.0,3000963.0,loinc:718-7,hemoglobin [mass/volume] in blood,loinc:718-7,hemoglobin [mass/volume] in blood,measurement,exact match,baseline time,baseline time,continuous_variable,gram per deciliter,float,,continuous_variable,,float,,"{""rule"": ""No transformation required. Continuous types and units match."", ""source_categories"": """", ""target_categories"": """"}"
bpsyststanding,bk_rrs,3004249.0,3004249.0,loinc:8480-6,systolic blood pressure,loinc:8480-6,systolic blood pressure,measurement,exact match,baseline time,baseline time,continuous_variable,millimeter mercury column,int,,continuous_variable,millimeter mercury column,int,,"{""rule"": ""No transformation required. Continuous types and units match."", ""source_categories"": """", ""target_categories"": """"}"
bpsyststanding,hk_rrs,3004249.0,3004249.0,loinc:8480-6,systolic blood pressure,loinc:8480-6,systolic blood pressure,measurement,exact match,baseline time,baseline time,continuous_variable,millimeter mercury column,int,,continuous_variable,millimeter mercury column,int,,"{""rule"": ""No transformation required. Continuous types and units match."", ""source_categories"": """", ""target_categories"": """"}"
bpsyststanding,ik_rrs,3004249.0,3004249.0,loinc:8480-6,systolic blood pressure,loinc:8480-6,systolic blood pressure,measurement,exact match,baseline time,baseline time,continuous_variable,millimeter mercury column,int,,continuous_variable,millimeter mercury column,int,,"{""rule"": ""No transformation required. Continuous types and units match."", ""source_categories"": """", ""target_categories"": """"}"
bpsyststanding,ek_rrs,3004249.0,3004249.0,loinc:8480-6,systolic blood pressure,loinc:8480-6,systolic blood pressure,measurement,exact match,baseline time,baseline time,continuous_variable,millimeter mercury column,int,,continuous_variable,millimeter mercury column,int,,"{""rule"": ""No transformation required. Continuous types and units match."", ""source_categories"": """", ""target_categories"": """"}"
bpsyststanding,fk_rrs,3004249.0,3004249.0,loinc:8480-6,systolic blood pressure,loinc:8480-6,systolic blood pressure,measurement,exact match,baseline time,baseline time,continuous_variable,millimeter mercury column,int,,continuous_variable,millimeter mercury column,int,,"{""rule"": ""No transformation required. Continuous types and units match."", ""source_categories"": """", ""target_categories"": """"}"
bpsyststanding,gk_rrs,3004249.0,3004249.0,loinc:8480-6,systolic blood pressure,loinc:8480-6,systolic blood pressure,measurement,exact match,baseline time,baseline time,continuous_variable,millimeter mercury column,int,,continuous_variable,millimeter mercury column,int,,"{""rule"": ""No transformation required. Continuous types and units match."", ""source_categories"": """", ""target_categories"": """"}"
bpsyststanding,dk_rrs,3004249.0,3004249.0,loinc:8480-6,systolic blood pressure,loinc:8480-6,systolic blood pressure,measurement,exact match,baseline time,baseline time,continuous_variable,millimeter mercury column,int,,continuous_variable,millimeter mercury column,int,,"{""rule"": ""No transformation required. Continuous types and units match."", ""source_categories"": """", ""target_categories"": """"}"
rvra,bk_rrs,3004249.0,3004249.0,loinc:8480-6,systolic blood pressure,loinc:8480-6,systolic blood pressure,measurement,exact match,baseline time,baseline time,continuous_variable,millimeter mercury column,int,,continuous_variable,millimeter mercury column,int,,"{""rule"": ""No transformation required. Continuous types and units match."", ""source_categories"": """", ""target_categories"": """"}"
rvra,hk_rrs,3004249.0,3004249.0,loinc:8480-6,systolic blood pressure,loinc:8480-6,systolic blood pressure,measurement,exact match,baseline time,baseline time,continuous_variable,millimeter mercury column,int,,continuous_variable,millimeter mercury column,int,,"{""rule"": ""No transformation required. Continuous types and units match."", ""source_categories"": """", ""target_categories"": """"}"
rvra,ik_rrs,3004249.0,3004249.0,loinc:8480-6,systolic blood pressure,loinc:8480-6,systolic blood pressure,measurement,exact match,baseline time,baseline time,continuous_variable,millimeter mercury column,int,,continuous_variable,millimeter mercury column,int,,"{""rule"": ""No transformation required. Continuous types and units match."", ""source_categories"": """", ""target_categories"": """"}"
